( power_on INSTRUMENT10 )
( pointing SATELLITE4 STAR0 )
( pointing SATELLITE4 PLANET38 )
( pointing SATELLITE4 PLANET22 )
( have_image STAR10 THERMOGRAPH0 )
( have_image PLANET22 IMAGE1 )
( pointing SATELLITE1 PHENOMENON32 )
( pointing SATELLITE3 PLANET24 )
( have_image PHENOMENON32 THERMOGRAPH0 )
( pointing SATELLITE4 PHENOMENON35 )
( pointing SATELLITE1 PLANET13 )
( have_image PHENOMENON35 IMAGE1 )
( pointing SATELLITE3 STAR15 )
( have_image PLANET13 SPECTROGRAPH2 )
( pointing SATELLITE4 PLANET8 )
( have_image STAR15 THERMOGRAPH0 )
( pointing SATELLITE1 PLANET7 )
( pointing SATELLITE3 PLANET34 )
( have_image PLANET7 THERMOGRAPH0 )
( pointing SATELLITE4 STAR41 )
( pointing SATELLITE1 PLANET23 )
( have_image STAR41 IMAGE1 )
( pointing SATELLITE3 PLANET39 )
( have_image PLANET23 SPECTROGRAPH2 )
( pointing SATELLITE4 PHENOMENON25 )
( have_image PLANET39 IMAGE1 )
( have_image PHENOMENON25 IMAGE1 )
( pointing SATELLITE3 PHENOMENON28 )
( pointing SATELLITE4 PHENOMENON29 )
( have_image PHENOMENON28 THERMOGRAPH0 )
( pointing SATELLITE1 PLANET22 )
( have_image PHENOMENON29 IMAGE1 )
( pointing SATELLITE1 PLANET31 )
( have_image PLANET31 SPECTROGRAPH2 )
( pointing SATELLITE0 PHENOMENON6 )
( have_image STAR9 THERMOGRAPH0 )
( have_image PLANET14 SPECTROGRAPH2 )
