( power_on INSTRUMENT6 )
( pointing SATELLITE3 STAR0 )
( pointing SATELLITE1 PHENOMENON38 )
( have_image STAR40 IMAGE2 )
( pointing SATELLITE3 PHENOMENON26 )
( have_image planet51 image2 )
( pointing SATELLITE2 PLANET34 )
( have_image PLANET34 INFRARED1 )
( pointing satellite3 phenomenon30 )
( pointing SATELLITE3 PHENOMENON24 )
( pointing SATELLITE2 PLANET12 )
( have_image PHENOMENON24 INFRARED1 )
( pointing SATELLITE3 PHENOMENON23 )
( have_image PHENOMENON48 INFRARED1 )
( have_image PHENOMENON23 INFRARED1 )
( pointing SATELLITE1 PLANET22 )
( have_image STAR18 INFRARED1 )
( pointing SATELLITE1 PLANET35 )
( pointing SATELLITE2 PLANET21 )
( have_image PLANET35 IMAGE2 )
( have_image PLANET21 IMAGE2 )
( pointing SATELLITE1 PLANET13 )
( pointing SATELLITE3 PLANET49 )
( pointing satellite2 groundstation2 )
( pointing SATELLITE2 PHENOMENON52 )
( have_image PHENOMENON52 INFRARED1 )
( pointing SATELLITE4 PLANET33 )
( pointing SATELLITE2 PHENOMENON6 )
( have_image STAR41 IMAGE2 )
( have_image PLANET33 INFRARED0 )
( pointing SATELLITE0 PHENOMENON30 )
( pointing SATELLITE2 PHENOMENON27 )
( have_image PHENOMENON30 IMAGE2 )
( have_image PLANET9 INFRARED0 )
( pointing satellite0 star18 )
( have_image PHENOMENON27 INFRARED0 )
( pointing satellite3 star36 )
( pointing SATELLITE4 PHENOMENON47 )
( pointing SATELLITE2 PLANET3 )
( have_image PLANET45 IMAGE2 )
( have_image PHENOMENON47 INFRARED0 )
( pointing SATELLITE0 PLANET46 )
( power_on instrument8 )
( pointing SATELLITE4 PLANET50 )
( have_image PLANET46 IMAGE2 )
( have_image PLANET50 INFRARED0 )
