( power_on INSTRUMENT4 )
( power_on INSTRUMENT6 )
( power_on INSTRUMENT0 )
( pointing SATELLITE4 GROUNDSTATION2 )
( pointing SATELLITE2 PHENOMENON31 )
( pointing SATELLITE1 STAR0 )
( pointing SATELLITE3 STAR0 )
( pointing SATELLITE0 GROUNDSTATION2 )
( calibrated INSTRUMENT8 )
( pointing SATELLITE2 STAR10 )
( calibrated INSTRUMENT2 )
( calibrated INSTRUMENT6 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE1 PHENOMENON43 )
( pointing SATELLITE3 STAR28 )
( pointing SATELLITE0 PLANET51 )
( pointing SATELLITE2 GROUNDSTATION2 )
( have_image STAR40 IMAGE2 )
( have_image PLANET51 IMAGE2 )
( calibrated INSTRUMENT4 )
( pointing SATELLITE2 STAR36 )
( pointing SATELLITE4 STAR10 )
( pointing SATELLITE3 STAR37 )
( pointing SATELLITE0 PHENOMENON5 )
( have_image STAR36 INFRARED1 )
( pointing SATELLITE4 PLANET45 )
( have_image PHENOMENON19 INFRARED0 )
( have_image STAR37 INFRARED1 )
( have_image PHENOMENON5 IMAGE2 )
( pointing SATELLITE2 PLANET13 )
( have_image PLANET45 IMAGE2 )
( pointing SATELLITE1 PHENOMENON38 )
( pointing SATELLITE3 PLANET21 )
( pointing SATELLITE4 PLANET29 )
( have_image PHENOMENON38 INFRARED0 )
( have_image PLANET21 IMAGE2 )
( have_image PLANET29 IMAGE2 )
( pointing SATELLITE4 PHENOMENON32 )
( have_image PLANET34 INFRARED1 )
( have_image PHENOMENON30 IMAGE2 )
( pointing SATELLITE2 STAR42 )
( have_image PHENOMENON32 IMAGE2 )
( pointing SATELLITE3 PHENOMENON52 )
( have_image STAR42 INFRARED0 )
( have_image STAR10 INFRARED0 )
( pointing SATELLITE2 PLANET9 )
( have_image STAR41 IMAGE2 )
( pointing SATELLITE1 PHENOMENON23 )
( pointing SATELLITE3 STAR11 )
( have_image PLANET9 INFRARED0 )
( pointing SATELLITE4 PLANET46 )
( pointing SATELLITE2 PHENOMENON27 )
( have_image PLANET46 IMAGE2 )
( pointing SATELLITE1 PLANET3 )
( have_image PHENOMENON27 INFRARED0 )
( have_image PLANET3 INFRARED0 )
( pointing SATELLITE3 STAR18 )
( have_image PLANET33 INFRARED0 )
( pointing SATELLITE4 STAR25 )
( have_image STAR25 IMAGE2 )
( pointing SATELLITE1 PLANET50 )
( have_image PHENOMENON6 INFRARED0 )
( pointing SATELLITE4 PHENOMENON31 )
( have_image PLANET50 INFRARED0 )
( have_image PHENOMENON31 IMAGE2 )
( pointing SATELLITE3 PHENOMENON26 )
( pointing SATELLITE2 PLANET4 )
( pointing SATELLITE4 STAR44 )
( have_image PHENOMENON26 INFRARED1 )
( have_image PLANET4 INFRARED0 )
( have_image STAR44 IMAGE2 )
( pointing SATELLITE1 PLANET49 )
( pointing SATELLITE2 PLANET35 )
( have_image PLANET35 IMAGE2 )
