( power_on INSTRUMENT3 )
( power_on INSTRUMENT7 )
( power_on instrument4 )
( pointing SATELLITE3 GROUNDSTATION1 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE0 STAR2 )
( pointing SATELLITE6 PLANET18 )
( pointing SATELLITE5 STAR27 )
( pointing SATELLITE3 PLANET41 )
( pointing satellite4 star70 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE0 PLANET67 )
( have_image PLANET29 INFRARED0 )
( have_image PLANET67 THERMOGRAPH2 )
( pointing SATELLITE6 STAR70 )
( pointing SATELLITE2 PLANET25 )
( have_image PHENOMENON45 THERMOGRAPH2 )
( pointing SATELLITE1 PLANET12 )
( have_image PHENOMENON26 THERMOGRAPH2 )
( have_image PLANET64 INFRARED0 )
( calibrated instrument8 )
( pointing SATELLITE5 STAR54 )
( pointing SATELLITE0 PHENOMENON15 )
( have_image PLANET71 INFRARED1 )
( have_image PHENOMENON15 INFRARED0 )
( pointing SATELLITE1 PLANET48 )
( pointing SATELLITE6 STAR58 )
( pointing SATELLITE3 PLANET56 )
( pointing SATELLITE5 PLANET10 )
( have_image PLANET48 THERMOGRAPH2 )
( have_image PHENOMENON8 THERMOGRAPH2 )
( have_image STAR37 THERMOGRAPH2 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( have_image PHENOMENON61 THERMOGRAPH2 )
( have_image PHENOMENON62 INFRARED0 )
( pointing SATELLITE1 PLANET16 )
( pointing SATELLITE6 PLANET36 )
( pointing satellite0 star54 )
( pointing SATELLITE3 PHENOMENON57 )
( have_image PLANET36 INFRARED0 )
( have_image STAR65 INFRARED1 )
( have_image PHENOMENON33 INFRARED0 )
( have_image PLANET50 THERMOGRAPH2 )
( pointing satellite5 star17 )
( pointing SATELLITE3 PLANET5 )
( pointing satellite3 planet48 )
( pointing SATELLITE1 STAR4 )
( pointing SATELLITE0 PHENOMENON69 )
( have_image PLANET44 INFRARED1 )
( have_image PHENOMENON9 INFRARED0 )
( have_image STAR4 INFRARED1 )
( pointing satellite1 star27 )
( have_image PHENOMENON46 INFRARED0 )
( have_image PHENOMENON69 INFRARED0 )
( pointing SATELLITE0 PLANET63 )
( have_image STAR23 THERMOGRAPH2 )
( have_image PLANET28 INFRARED0 )
( have_image PHENOMENON52 INFRARED1 )
( pointing SATELLITE1 STAR70 )
( pointing SATELLITE2 PLANET19 )
( have_image PLANET21 INFRARED0 )
( have_image PLANET32 THERMOGRAPH2 )
( have_image STAR40 THERMOGRAPH2 )
( pointing SATELLITE1 GROUNDSTATION1 )
( pointing SATELLITE6 PHENOMENON43 )
( pointing SATELLITE1 PLANET11 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( calibrated instrument1 )
( have_image STAR38 THERMOGRAPH2 )
( have_image PLANET24 INFRARED1 )
( power_on instrument8 )
