( power_on INSTRUMENT7 )
( pointing SATELLITE2 PHENOMENON8 )
( calibrated INSTRUMENT16 )
( pointing SATELLITE2 STAR1 )
( pointing SATELLITE0 PLANET48 )
( have_image PLANET41 IMAGE1 )
( have_image star45 image1 )
( calibrated INSTRUMENT7 )
( have_image PLANET48 IMAGE1 )
( pointing SATELLITE6 STAR52 )
( have_image PHENOMENON7 SPECTROGRAPH2 )
( have_image STAR52 IMAGE1 )
( pointing SATELLITE2 PLANET51 )
( have_image STAR24 IMAGE1 )
( pointing SATELLITE6 PHENOMENON30 )
( pointing SATELLITE2 STAR49 )
( pointing SATELLITE2 PLANET17 )
( have_image PHENOMENON30 IMAGE1 )
( have_image STAR23 IMAGE1 )
( pointing SATELLITE2 PHENOMENON28 )
( pointing SATELLITE6 PHENOMENON18 )
( pointing SATELLITE0 STAR16 )
( have_image PHENOMENON18 IMAGE1 )
( pointing SATELLITE3 STAR12 )
( have_image STAR16 IMAGE1 )
( pointing SATELLITE6 PHENOMENON44 )
( have_image STAR12 INFRARED0 )
( pointing SATELLITE0 PLANET51 )
( pointing SATELLITE2 STAR49 )
( have_image PHENOMENON44 IMAGE1 )
( pointing satellite5 phenomenon5 )
( pointing SATELLITE2 STAR26 )
( have_image PLANET51 IMAGE1 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image PHENOMENON34 INFRARED0 )
( pointing SATELLITE0 PHENOMENON40 )
( have_image STAR26 SPECTROGRAPH2 )
( pointing satellite1 planet46 )
( have_image PHENOMENON28 SPECTROGRAPH2 )
( pointing SATELLITE3 STAR12 )
( calibrated instrument12 )
( have_image PHENOMENON40 IMAGE1 )
( pointing SATELLITE4 PHENOMENON8 )
( pointing SATELLITE0 PLANET20 )
( pointing SATELLITE4 PLANET35 )
( have_image STAR25 INFRARED0 )
( pointing SATELLITE2 PLANET17 )
( pointing satellite3 star52 )
( pointing satellite6 planet41 )
( have_image PLANET20 IMAGE1 )
( pointing SATELLITE6 STAR45 )
( have_image star12 image1 )
( have_image star0 spectrograph2 )
( power_on instrument0 )
( pointing SATELLITE0 PHENOMENON32 )
( have_image PLANET17 SPECTROGRAPH2 )
( have_image STAR45 IMAGE1 )
( have_image STAR49 INFRARED0 )
( pointing SATELLITE2 PHENOMENON11 )
( pointing SATELLITE6 PLANET14 )
( have_image PLANET14 IMAGE1 )
( have_image PLANET42 IMAGE1 )
( calibrated instrument17 )
( have_image STAR9 SPECTROGRAPH2 )
( have_image phenomenon36 infrared0 )
( have_image STAR10 SPECTROGRAPH2 )
( have_image planet51 spectrograph2 )
( have_image STAR4 SPECTROGRAPH2 )
( pointing SATELLITE2 PLANET31 )
( pointing SATELLITE0 PLANET43 )
( have_image PLANET31 SPECTROGRAPH2 )
( have_image PLANET43 IMAGE1 )
( pointing SATELLITE0 STAR13 )
( pointing SATELLITE0 PLANET33 )
( pointing satellite0 planet17 )
