( power_on INSTRUMENT19 )
( power_on INSTRUMENT12 )
( power_on INSTRUMENT7 )
( pointing SATELLITE2 GROUNDSTATION3 )
( pointing SATELLITE1 GROUNDSTATION3 )
( pointing SATELLITE3 GROUNDSTATION1 )
( calibrated INSTRUMENT7 )
( calibrated INSTRUMENT19 )
( calibrated INSTRUMENT28 )
( pointing SATELLITE2 PLANET13 )
( pointing SATELLITE1 STAR23 )
( pointing SATELLITE4 PHENOMENON14 )
( have_image PLANET13 IMAGE2 )
( have_image STAR23 INFRARED9 )
( pointing SATELLITE0 PLANET7 )
( pointing SATELLITE2 STAR24 )
( pointing SATELLITE3 STAR11 )
( pointing SATELLITE1 PLANET18 )
( pointing SATELLITE4 PHENOMENON21 )
( have_image PLANET7 SPECTROGRAPH6 )
( have_image STAR11 IMAGE3 )
( have_image STAR11 IMAGE4 )
( have_image PHENOMENON21 THERMOGRAPH7 )
( pointing SATELLITE0 PLANET22 )
( pointing SATELLITE2 STAR23 )
( pointing SATELLITE3 PHENOMENON12 )
( pointing SATELLITE1 PHENOMENON5 )
( pointing SATELLITE4 STAR20 )
( have_image PLANET22 SPECTROGRAPH6 )
( have_image STAR23 IMAGE2 )
( have_image PHENOMENON12 IMAGE4 )
( have_image PHENOMENON5 THERMOGRAPH8 )
( pointing SATELLITE0 STAR6 )
( pointing SATELLITE2 PLANET7 )
( pointing SATELLITE4 STAR6 )
( have_image PLANET7 IMAGE2 )
( have_image PHENOMENON5 IMAGE3 )
( have_image STAR6 SPECTROGRAPH0 )
( pointing SATELLITE2 PHENOMENON8 )
( pointing SATELLITE4 PHENOMENON5 )
( have_image STAR10 SPECTROGRAPH6 )
( have_image PHENOMENON8 INFRARED5 )
( have_image PLANET15 IMAGE3 )
( have_image PHENOMENON5 SPECTROGRAPH0 )
( pointing SATELLITE0 STAR24 )
( pointing SATELLITE3 STAR16 )
( pointing SATELLITE2 PHENOMENON19 )
( pointing SATELLITE4 STAR11 )
( have_image STAR24 SPECTROGRAPH6 )
( have_image STAR16 IMAGE3 )
( have_image PHENOMENON19 IMAGE2 )
( have_image STAR16 IMAGE4 )
( have_image STAR11 THERMOGRAPH7 )
( pointing SATELLITE0 PHENOMENON8 )
( pointing SATELLITE3 PHENOMENON19 )
( have_image PLANET22 IMAGE2 )
( have_image PLANET18 THERMOGRAPH7 )
( pointing SATELLITE0 PLANET13 )
( have_image PLANET13 SPECTROGRAPH6 )
( have_image PHENOMENON21 IMAGE2 )
( have_image PHENOMENON21 IMAGE4 )
( have_image PHENOMENON8 THERMOGRAPH7 )
