( power_on INSTRUMENT28 )
( pointing SATELLITE1 GROUNDSTATION3 )
( pointing SATELLITE2 GROUNDSTATION3 )
( pointing SATELLITE4 GROUNDSTATION1 )
( calibrated INSTRUMENT7 )
( pointing satellite3 phenomenon8 )
( pointing satellite3 star23 )
( pointing SATELLITE0 STAR6 )
( pointing SATELLITE1 PLANET18 )
( pointing SATELLITE2 PHENOMENON19 )
( pointing SATELLITE3 PHENOMENON5 )
( pointing satellite2 star6 )
( have_image PLANET18 INFRARED9 )
( pointing satellite2 phenomenon5 )
( have_image PHENOMENON5 IMAGE3 )
( have_image phenomenon21 spectrograph6 )
( pointing SATELLITE0 PLANET9 )
( pointing SATELLITE2 STAR11 )
( pointing SATELLITE2 PLANET13 )
( have_image PLANET7 INFRARED5 )
( have_image STAR6 SPECTROGRAPH0 )
( have_image PLANET13 INFRARED5 )
( power_on instrument4 )
( pointing SATELLITE3 PHENOMENON19 )
( have_image planet17 image2 )
( have_image PHENOMENON8 INFRARED5 )
( pointing satellite3 star11 )
( have_image PHENOMENON19 IMAGE4 )
( have_image PHENOMENON5 SPECTROGRAPH0 )
( pointing SATELLITE3 PHENOMENON12 )
( pointing satellite3 star2 )
( pointing satellite2 groundstation1 )
( have_image PLANET7 SPECTROGRAPH6 )
( pointing SATELLITE2 PHENOMENON21 )
( pointing satellite3 groundstation1 )
( have_image PHENOMENON12 IMAGE4 )
( pointing satellite2 phenomenon8 )
( have_image STAR20 SPECTROGRAPH0 )
( have_image PHENOMENON21 IMAGE2 )
( pointing SATELLITE1 PHENOMENON5 )
( pointing SATELLITE3 STAR16 )
( pointing SATELLITE4 PHENOMENON21 )
( have_image PHENOMENON5 THERMOGRAPH8 )
( have_image STAR16 IMAGE3 )
( pointing satellite3 planet22 )
( calibrated instrument11 )
( power_on INSTRUMENT11 )
( have_image PLANET22 IMAGE2 )
( pointing SATELLITE4 PHENOMENON14 )
( have_image PHENOMENON8 SPECTROGRAPH6 )
( pointing SATELLITE0 STAR10 )
( have_image STAR23 IMAGE2 )
