( at person8 city20 )
( fuel-level PLANE3 FL1 )
( fuel-level plane3 fl2 )
( in PERSON2 PLANE4 )
( in PERSON3 PLANE5 )
( at PLANE4 CITY0 )
( fuel-level PLANE4 FL2 )
( at PLANE1 CITY4 )
( fuel-level PLANE1 FL2 )
( at PERSON3 CITY18 )
( fuel-level plane1 fl6 )
( at PERSON6 CITY4 )
( at PLANE2 CITY7 )
( fuel-level PLANE2 FL0 )
( at PLANE3 CITY13 )
( fuel-level PLANE3 FL0 )
( fuel-level PLANE5 FL1 )
( at PLANE4 CITY1 )
( fuel-level PLANE4 FL0 )
( at PLANE2 CITY5 )
( fuel-level PLANE2 FL0 )
( at PERSON10 CITY5 )
( fuel-level PLANE5 FL1 )
( fuel-level PLANE2 FL1 )
( at plane1 city13 )
( at PLANE4 CITY7 )
( fuel-level PLANE4 FL0 )
( at PERSON4 CITY7 )
( fuel-level PLANE1 FL1 )
( in PERSON12 PLANE5 )
( at PLANE2 CITY8 )
( fuel-level PLANE2 FL0 )
( at PLANE3 CITY21 )
( fuel-level PLANE3 FL1 )
( in PERSON16 PLANE3 )
( at plane1 city9 )
( at PLANE1 CITY5 )
( fuel-level plane2 fl3 )
( fuel-level PLANE1 FL0 )
( fuel-level PLANE3 FL2 )
( in PERSON21 PLANE1 )
( fuel-level PLANE4 FL1 )
( at PLANE3 CITY18 )
( fuel-level PLANE3 FL0 )
( at PLANE2 CITY20 )
( fuel-level PLANE2 FL0 )
( in PERSON5 PLANE2 )
( at PLANE4 CITY8 )
( fuel-level PLANE4 FL0 )
( at PLANE2 CITY8 )
( fuel-level PLANE2 FL0 )
( at PERSON16 CITY13 )
( at PERSON5 CITY8 )
( fuel-level PLANE2 FL1 )
( fuel-level PLANE1 FL3 )
( in PERSON18 PLANE4 )
( in person15 plane3 )
( in PERSON8 PLANE4 )
( fuel-level plane4 fl6 )
( at PERSON17 CITY4 )
( at PLANE5 CITY4 )
( fuel-level PLANE5 FL0 )
( at PERSON21 CITY10 )
( at PERSON11 CITY18 )
( fuel-level PLANE3 FL1 )
( at PLANE3 CITY12 )
( fuel-level PLANE3 FL0 )
( in PERSON19 PLANE5 )
( at PLANE2 CITY1 )
( fuel-level PLANE2 FL0 )
( in PERSON13 PLANE2 )
( fuel-level PLANE5 FL1 )
( fuel-level PLANE3 FL1 )
( at PLANE4 CITY5 )
( fuel-level PLANE4 FL0 )
( in PERSON25 PLANE4 )
( fuel-level PLANE4 FL1 )
( at PLANE5 CITY16 )
( fuel-level PLANE5 FL0 )
( at PLANE3 CITY17 )
( fuel-level PLANE3 FL0 )
( at PERSON19 CITY16 )
( at person24 city1 )
( fuel-level PLANE4 FL1 )
( at PERSON20 CITY1 )
( at plane3 city6 )
( in person16 plane2 )
( at PERSON8 CITY16 )
