( calibrated INSTRUMENT16 )
( pointing satellite4 star0 )
( pointing SATELLITE6 PLANET41 )
( pointing SATELLITE5 PHENOMENON40 )
( pointing SATELLITE0 STAR23 )
( have_image PHENOMENON40 IMAGE1 )
( pointing SATELLITE3 STAR27 )
( pointing satellite5 phenomenon11 )
( calibrated instrument5 )
( have_image STAR52 IMAGE1 )
( pointing satellite2 phenomenon7 )
( pointing SATELLITE0 PLANET51 )
( have_image planet42 image1 )
( have_image STAR27 INFRARED0 )
( pointing SATELLITE6 PHENOMENON30 )
( pointing SATELLITE2 STAR49 )
( have_image PLANET51 IMAGE1 )
( pointing SATELLITE3 PLANET19 )
( pointing SATELLITE2 PLANET17 )
( have_image star37 spectrograph2 )
( have_image PHENOMENON30 IMAGE1 )
( pointing SATELLITE0 PLANET20 )
( have_image phenomenon40 infrared0 )
( have_image PLANET19 INFRARED0 )
( pointing SATELLITE2 PHENOMENON28 )
( pointing SATELLITE6 PHENOMENON18 )
( have_image PLANET20 IMAGE1 )
( pointing satellite2 phenomenon44 )
( have_image PHENOMENON18 IMAGE1 )
( pointing SATELLITE0 PHENOMENON32 )
( have_image STAR21 SPECTROGRAPH2 )
( pointing satellite6 phenomenon44 )
( pointing SATELLITE6 PHENOMENON44 )
( have_image PHENOMENON32 IMAGE1 )
( pointing SATELLITE2 STAR49 )
( pointing SATELLITE0 PLANET42 )
( pointing SATELLITE2 STAR26 )
( have_image planet20 spectrograph2 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image STAR26 SPECTROGRAPH2 )
( pointing satellite5 star52 )
( pointing SATELLITE0 PHENOMENON8 )
( pointing SATELLITE2 STAR3 )
( pointing SATELLITE4 PHENOMENON8 )
( pointing SATELLITE3 STAR25 )
( have_image PHENOMENON8 IMAGE1 )
( pointing satellite6 star27 )
( have_image STAR3 INFRARED0 )
( pointing SATELLITE4 PLANET35 )
( have_image STAR39 IMAGE1 )
( pointing SATELLITE0 PLANET43 )
( have_image PLANET35 SPECTROGRAPH2 )
( pointing SATELLITE6 STAR45 )
( pointing SATELLITE3 STAR49 )
( have_image PLANET17 SPECTROGRAPH2 )
( have_image STAR45 IMAGE1 )
( pointing SATELLITE0 STAR13 )
( have_image PHENOMENON5 SPECTROGRAPH2 )
( have_image STAR13 IMAGE1 )
( have_image PHENOMENON11 SPECTROGRAPH2 )
( have_image PLANET14 IMAGE1 )
( have_image STAR9 SPECTROGRAPH2 )
( pointing SATELLITE6 STAR4 )
( have_image PLANET33 INFRARED0 )
( pointing satellite3 phenomenon36 )
( have_image STAR10 SPECTROGRAPH2 )
( have_image STAR4 SPECTROGRAPH2 )
( pointing SATELLITE0 PLANET20 )
( pointing SATELLITE2 PLANET19 )
( pointing SATELLITE2 PLANET31 )
( have_image STAR16 IMAGE1 )
( have_image STAR24 IMAGE1 )
( have_image PLANET31 SPECTROGRAPH2 )
( have_image PLANET48 IMAGE1 )
