( power_on INSTRUMENT13 )
( pointing SATELLITE6 STAR2 )
( calibrated INSTRUMENT13 )
( pointing SATELLITE6 STAR35 )
( pointing SATELLITE5 PHENOMENON26 )
( have_image STAR35 THERMOGRAPH2 )
( have_image PHENOMENON26 THERMOGRAPH2 )
( have_image planet48 infrared0 )
( pointing SATELLITE6 PHENOMENON43 )
( calibrated instrument0 )
( pointing SATELLITE3 PHENOMENON61 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( have_image PHENOMENON61 THERMOGRAPH2 )
( pointing SATELLITE6 PLANET63 )
( pointing satellite1 planet50 )
( pointing SATELLITE3 STAR40 )
( have_image PLANET63 THERMOGRAPH2 )
( have_image STAR40 THERMOGRAPH2 )
( pointing SATELLITE6 PHENOMENON8 )
( pointing SATELLITE3 STAR59 )
( have_image PHENOMENON8 THERMOGRAPH2 )
( have_image phenomenon8 infrared0 )
( have_image STAR59 THERMOGRAPH2 )
( pointing SATELLITE6 STAR38 )
( pointing SATELLITE3 PLANET41 )
( have_image STAR38 THERMOGRAPH2 )
( have_image PLANET41 THERMOGRAPH2 )
( pointing SATELLITE6 PHENOMENON51 )
( pointing SATELLITE3 PHENOMENON55 )
( have_image PHENOMENON51 THERMOGRAPH2 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( pointing SATELLITE1 PLANET68 )
( pointing SATELLITE3 PHENOMENON45 )
( have_image PLANET68 INFRARED0 )
( have_image PHENOMENON45 THERMOGRAPH2 )
( pointing SATELLITE1 PHENOMENON9 )
( pointing SATELLITE2 STAR58 )
( have_image PHENOMENON9 INFRARED0 )
( have_image STAR58 INFRARED1 )
( pointing satellite0 planet44 )
( pointing SATELLITE1 PLANET36 )
( pointing SATELLITE4 PHENOMENON14 )
( pointing satellite2 phenomenon60 )
( have_image PLANET36 INFRARED0 )
( pointing SATELLITE5 PLANET64 )
( have_image PHENOMENON14 INFRARED0 )
( pointing satellite5 phenomenon55 )
( pointing SATELLITE1 PLANET19 )
( have_image PLANET64 INFRARED0 )
( pointing SATELLITE4 PHENOMENON46 )
( power_on instrument3 )
( have_image PLANET19 INFRARED0 )
( pointing SATELLITE4 PLANET49 )
( have_image STAR70 INFRARED1 )
( pointing SATELLITE1 PLANET41 )
( have_image PLANET49 THERMOGRAPH2 )
( pointing SATELLITE1 PLANET12 )
( pointing SATELLITE5 STAR37 )
( have_image PLANET12 THERMOGRAPH2 )
( have_image STAR37 THERMOGRAPH2 )
