( power_on INSTRUMENT13 )
( pointing SATELLITE6 STAR35 )
( pointing SATELLITE5 PHENOMENON26 )
( have_image STAR35 THERMOGRAPH2 )
( have_image PHENOMENON26 THERMOGRAPH2 )
( pointing SATELLITE6 PHENOMENON43 )
( pointing SATELLITE3 PHENOMENON61 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( have_image PHENOMENON61 THERMOGRAPH2 )
( pointing SATELLITE6 PLANET63 )
( pointing SATELLITE3 STAR40 )
( have_image PLANET63 THERMOGRAPH2 )
( pointing SATELLITE6 PHENOMENON8 )
( pointing SATELLITE3 STAR59 )
( have_image STAR59 THERMOGRAPH2 )
( pointing SATELLITE3 PLANET41 )
( have_image STAR38 THERMOGRAPH2 )
( have_image PLANET41 THERMOGRAPH2 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( pointing SATELLITE3 PHENOMENON45 )
( pointing SATELLITE1 PHENOMENON9 )
( pointing SATELLITE2 STAR58 )
( have_image PHENOMENON9 INFRARED0 )
( have_image STAR58 INFRARED1 )
( pointing SATELLITE1 PLANET36 )
( pointing SATELLITE4 PHENOMENON14 )
( have_image PLANET36 INFRARED0 )
( pointing SATELLITE1 PLANET19 )
( pointing SATELLITE4 PHENOMENON46 )
( have_image PLANET19 INFRARED0 )
( pointing SATELLITE4 PLANET49 )
( have_image STAR70 INFRARED1 )
( pointing SATELLITE1 PLANET41 )
( have_image PLANET49 THERMOGRAPH2 )
( pointing SATELLITE1 PLANET12 )
( have_image PLANET12 THERMOGRAPH2 )
( have_image STAR37 THERMOGRAPH2 )
