( power_on INSTRUMENT13 )
( have_image planet41 image1 )
( pointing SATELLITE5 STAR2 )
( have_image planet19 spectrograph2 )
( pointing satellite6 planet33 )
( calibrated INSTRUMENT16 )
( have_image star22 spectrograph2 )
( have_image planet48 infrared0 )
( pointing SATELLITE6 PLANET41 )
( pointing satellite6 star25 )
( pointing SATELLITE5 PHENOMENON40 )
( have_image PLANET41 IMAGE1 )
( pointing satellite2 star37 )
( power_on instrument1 )
( have_image PHENOMENON40 IMAGE1 )
( pointing SATELLITE3 STAR27 )
( have_image STAR27 INFRARED0 )
( calibrated instrument7 )
( have_image PHENOMENON30 IMAGE1 )
( have_image PLANET19 INFRARED0 )
( pointing satellite0 phenomenon5 )
( pointing SATELLITE2 PHENOMENON28 )
( have_image PLANET20 IMAGE1 )
( pointing SATELLITE3 STAR47 )
( pointing SATELLITE2 STAR21 )
( have_image phenomenon8 image1 )
( have_image PHENOMENON18 IMAGE1 )
( pointing SATELLITE6 PHENOMENON44 )
( have_image PHENOMENON32 IMAGE1 )
( have_image phenomenon6 infrared0 )
( pointing SATELLITE2 STAR49 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE4 PHENOMENON28 )
( pointing satellite2 phenomenon8 )
( have_image PLANET42 IMAGE1 )
( have_image STAR26 SPECTROGRAPH2 )
( pointing SATELLITE3 STAR25 )
( have_image STAR39 IMAGE1 )
( pointing SATELLITE3 STAR49 )
( have_image PLANET17 SPECTROGRAPH2 )
( have_image STAR45 IMAGE1 )
( have_image STAR49 INFRARED0 )
( pointing SATELLITE0 STAR13 )
( pointing SATELLITE2 PHENOMENON11 )
( pointing SATELLITE6 PLANET14 )
( have_image PLANET14 IMAGE1 )
( have_image PLANET33 INFRARED0 )
( pointing SATELLITE6 PLANET48 )
