( power_on INSTRUMENT8 )
( power_on INSTRUMENT1 )
( power_on INSTRUMENT9 )
( power_on INSTRUMENT4 )
( power_on INSTRUMENT7 )
( pointing SATELLITE3 PLANET26 )
( pointing SATELLITE4 PLANET13 )
( pointing SATELLITE1 GROUNDSTATION2 )
( pointing SATELLITE3 GROUNDSTATION1 )
( pointing SATELLITE4 GROUNDSTATION2 )
( calibrated INSTRUMENT4 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE0 PHENOMENON6 )
( pointing SATELLITE1 PLANET37 )
( pointing SATELLITE2 PHENOMENON4 )
( pointing SATELLITE3 PLANET14 )
( pointing SATELLITE4 PHENOMENON25 )
( pointing SATELLITE1 PHENOMENON29 )
( pointing SATELLITE2 STAR9 )
( pointing SATELLITE3 PHENOMENON40 )
( pointing SATELLITE4 PLANET31 )
( have_image STAR21 THERMOGRAPH0 )
( have_image PHENOMENON29 IMAGE1 )
( power_avail SATELLITE0 )
( power_on INSTRUMENT0 )
( have_image PHENOMENON40 THERMOGRAPH0 )
( have_image PLANET31 SPECTROGRAPH2 )
( pointing SATELLITE1 PLANET42 )
( pointing SATELLITE2 PLANET19 )
( pointing SATELLITE3 PLANET23 )
( pointing SATELLITE0 GROUNDSTATION1 )
( pointing SATELLITE4 PLANET39 )
( have_image PLANET42 SPECTROGRAPH2 )
( calibrated INSTRUMENT0 )
( have_image PLANET39 IMAGE1 )
( pointing SATELLITE1 PHENOMENON35 )
( pointing SATELLITE3 STAR33 )
( have_image PLANET13 SPECTROGRAPH2 )
( have_image STAR30 SPECTROGRAPH2 )
( have_image STAR33 IMAGE1 )
( pointing SATELLITE1 PLANET27 )
( pointing SATELLITE2 PHENOMENON32 )
( have_image PLANET22 IMAGE1 )
( pointing SATELLITE3 PLANET38 )
( have_image PLANET27 THERMOGRAPH0 )
( have_image PHENOMENON32 THERMOGRAPH0 )
( have_image PLANET38 IMAGE1 )
( pointing SATELLITE1 PHENOMENON25 )
( have_image PLANET34 IMAGE1 )
( pointing SATELLITE3 PLANET8 )
( pointing SATELLITE4 PHENOMENON17 )
( have_image PLANET8 THERMOGRAPH0 )
( have_image STAR10 THERMOGRAPH0 )
( have_image PHENOMENON17 THERMOGRAPH0 )
( pointing SATELLITE3 PLANET7 )
( pointing SATELLITE1 PLANET24 )
( pointing SATELLITE4 STAR5 )
( have_image PLANET24 THERMOGRAPH0 )
( have_image STAR5 THERMOGRAPH0 )
( pointing SATELLITE3 STAR15 )
( pointing SATELLITE1 PHENOMENON18 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image PHENOMENON28 THERMOGRAPH0 )
( pointing SATELLITE3 STAR41 )
( have_image STAR41 IMAGE1 )
