( power_on INSTRUMENT10 )
( pointing SATELLITE4 STAR0 )
( pointing satellite3 star41 )
( pointing satellite2 planet34 )
( pointing SATELLITE4 PLANET38 )
( have_image phenomenon29 image1 )
( have_image star9 image1 )
( pointing SATELLITE0 PHENOMENON17 )
( have_image PHENOMENON17 THERMOGRAPH0 )
( pointing SATELLITE4 PLANET31 )
( have_image STAR10 THERMOGRAPH0 )
( have_image PLANET22 IMAGE1 )
( pointing SATELLITE1 PHENOMENON32 )
( power_on instrument6 )
( pointing SATELLITE1 PLANET13 )
( have_image PHENOMENON35 IMAGE1 )
( pointing SATELLITE3 STAR15 )
( have_image planet27 thermograph0 )
( pointing SATELLITE3 PLANET34 )
( pointing SATELLITE4 STAR41 )
( pointing SATELLITE3 PLANET39 )
( pointing SATELLITE4 PHENOMENON25 )
( have_image PLANET39 IMAGE1 )
( pointing satellite3 phenomenon32 )
( pointing SATELLITE3 PHENOMENON28 )
( pointing SATELLITE1 PLANET22 )
( pointing satellite2 phenomenon40 )
( have_image STAR9 THERMOGRAPH0 )
( pointing SATELLITE1 PLANET14 )
