( power_on INSTRUMENT19 )
( pointing SATELLITE0 PLANET22 )
( pointing SATELLITE0 PLANET7 )
( pointing SATELLITE1 STAR23 )
( pointing satellite4 phenomenon5 )
( pointing SATELLITE2 PHENOMENON21 )
( power_on instrument0 )
( pointing SATELLITE1 PHENOMENON5 )
( pointing satellite4 star20 )
( pointing satellite2 planet18 )
( pointing SATELLITE2 PLANET22 )
( pointing satellite4 planet22 )
( have_image planet22 thermograph7 )
( pointing satellite3 planet9 )
( pointing satellite1 phenomenon8 )
( have_image PHENOMENON5 THERMOGRAPH8 )
( have_image star11 spectrograph6 )
( pointing satellite0 planet15 )
( pointing SATELLITE2 STAR24 )
( have_image PLANET15 IMAGE3 )
