( power_on INSTRUMENT22 )
( pointing SATELLITE1 STAR2 )
( pointing SATELLITE1 PLANET9 )
( pointing SATELLITE2 PHENOMENON13 )
( pointing SATELLITE3 STAR14 )
( have_image PLANET9 SPECTROGRAPH0 )
( have_image PLANET17 IMAGE5 )
( pointing SATELLITE4 PLANET21 )
( pointing SATELLITE0 STAR14 )
( pointing SATELLITE0 PLANET15 )
( have_image STAR10 SPECTROGRAPH6 )
( have_image PHENOMENON5 INFRARED7 )
( pointing SATELLITE1 STAR12 )
( pointing SATELLITE0 PHENOMENON13 )
( have_image PHENOMENON24 IMAGE5 )
( have_image PLANET22 INFRARED2 )
( pointing SATELLITE1 PHENOMENON24 )
( have_image PHENOMENON24 SPECTROGRAPH6 )
( have_image PHENOMENON7 THERMOGRAPH1 )
( pointing SATELLITE4 STAR19 )
( pointing SATELLITE3 STAR18 )
( pointing SATELLITE1 PHENOMENON20 )
( have_image STAR19 THERMOGRAPH1 )
( have_image STAR18 INFRARED2 )
( have_image PHENOMENON20 SPECTROGRAPH0 )
( have_image PHENOMENON11 INFRARED2 )
( pointing SATELLITE3 STAR10 )
( have_image STAR10 INFRARED3 )
