( in person8 plane4 )
( at PLANE2 CITY1 )
( at plane5 city5 )
( fuel-level PLANE2 FL4 )
( in PERSON2 PLANE2 )
( at PLANE3 CITY7 )
( fuel-level PLANE3 FL4 )
( at PERSON4 CITY7 )
( fuel-level PLANE1 FL1 )
( at PLANE5 CITY6 )
( fuel-level PLANE5 FL0 )
( in PERSON5 PLANE5 )
( at PLANE4 CITY6 )
( fuel-level PLANE4 FL0 )
( fuel-level plane1 fl2 )
( at PLANE3 CITY9 )
( fuel-level PLANE3 FL3 )
( fuel-level PLANE5 FL1 )
( at PERSON6 CITY6 )
( at PERSON10 CITY9 )
( at PERSON8 CITY1 )
( at PLANE3 CITY5 )
( fuel-level PLANE3 FL1 )
( at PERSON9 CITY5 )
( at PLANE5 CITY1 )
( at plane5 city5 )
( fuel-level PLANE5 FL0 )
( at PERSON5 CITY1 )
( at PLANE4 CITY2 )
( fuel-level PLANE4 FL0 )
