( power_on INSTRUMENT10 )
( calibrated INSTRUMENT10 )
( pointing SATELLITE4 PLANET38 )
( pointing SATELLITE0 PHENOMENON17 )
( have_image PLANET38 IMAGE1 )
( calibrated instrument8 )
( have_image PHENOMENON17 THERMOGRAPH0 )
( pointing SATELLITE4 PLANET22 )
( have_image STAR10 THERMOGRAPH0 )
( have_image PLANET22 IMAGE1 )
( pointing SATELLITE3 PLANET24 )
( have_image PLANET24 THERMOGRAPH0 )
( pointing SATELLITE1 PLANET13 )
( pointing SATELLITE3 STAR15 )
( have_image phenomenon3 image1 )
( have_image PLANET13 SPECTROGRAPH2 )
( pointing SATELLITE4 PLANET8 )
( have_image PLANET8 THERMOGRAPH0 )
( have_image PLANET7 THERMOGRAPH0 )
( pointing SATELLITE4 STAR41 )
( have_image PLANET34 IMAGE1 )
( pointing SATELLITE1 PLANET23 )
( power_on instrument2 )
( have_image STAR41 IMAGE1 )
( pointing SATELLITE3 PLANET39 )
( have_image PLANET23 SPECTROGRAPH2 )
( pointing SATELLITE4 PHENOMENON25 )
( have_image PLANET39 IMAGE1 )
( pointing satellite1 star30 )
( pointing SATELLITE3 PHENOMENON28 )
( have_image STAR5 THERMOGRAPH0 )
( have_image phenomenon29 thermograph0 )
( pointing SATELLITE4 PHENOMENON29 )
( pointing satellite3 phenomenon32 )
( have_image PHENOMENON28 THERMOGRAPH0 )
( pointing SATELLITE1 PLANET22 )
( have_image PHENOMENON29 IMAGE1 )
( have_image PLANET31 SPECTROGRAPH2 )
( pointing SATELLITE1 STAR9 )
( pointing SATELLITE0 PHENOMENON6 )
( have_image STAR9 THERMOGRAPH0 )
( have_image PHENOMENON6 THERMOGRAPH0 )
( have_image PLANET14 SPECTROGRAPH2 )
