( in person8 plane3 )
( in PERSON3 PLANE2 )
( at PLANE3 CITY0 )
( fuel-level PLANE3 FL0 )
( in PERSON8 PLANE3 )
( at plane3 city0 )
( at PLANE2 CITY0 )
( fuel-level PLANE2 FL3 )
( in PERSON6 PLANE2 )
( fuel-level PLANE3 FL1 )
( at PLANE2 CITY3 )
( fuel-level plane2 fl1 )
( fuel-level PLANE2 FL1 )
( in PERSON1 PLANE2 )
( at PERSON3 CITY3 )
( at PLANE3 CITY3 )
( fuel-level PLANE3 FL0 )
( in person5 plane1 )
( at PERSON8 CITY3 )
( fuel-level PLANE1 FL1 )
( at PLANE2 CITY1 )
( at plane1 city0 )
( fuel-level PLANE2 FL0 )
( at PERSON1 CITY1 )
( fuel-level PLANE2 FL1 )
( at PLANE1 CITY1 )
( fuel-level PLANE1 FL0 )
( fuel-level PLANE1 FL1 )
( at PLANE2 CITY2 )
( fuel-level PLANE2 FL0 )
( at PERSON2 CITY2 )
( at PLANE1 CITY0 )
( fuel-level PLANE1 FL0 )
( at PERSON5 CITY0 )
