( calibrated INSTRUMENT7 )
( calibrated INSTRUMENT16 )
( calibrated instrument18 )
( pointing SATELLITE2 PHENOMENON19 )
( have_image STAR24 SPECTROGRAPH6 )
( pointing satellite4 star10 )
( have_image PHENOMENON19 IMAGE2 )
( pointing SATELLITE2 PLANET22 )
( have_image PLANET13 SPECTROGRAPH6 )
( have_image PLANET18 INFRARED9 )
( pointing SATELLITE0 STAR10 )
( pointing SATELLITE1 STAR24 )
( have_image STAR24 INFRARED5 )
( pointing SATELLITE0 PLANET22 )
( pointing SATELLITE1 PLANET7 )
( pointing SATELLITE0 PHENOMENON8 )
( calibrated instrument17 )
( have_image planet7 infrared1 )
( pointing SATELLITE1 PHENOMENON5 )
( pointing SATELLITE0 PLANET9 )
( have_image PLANET9 SPECTROGRAPH6 )
( have_image PLANET13 INFRARED5 )
( pointing SATELLITE0 PLANET7 )
( pointing SATELLITE4 PHENOMENON14 )
( have_image PLANET7 SPECTROGRAPH6 )
( have_image PHENOMENON14 THERMOGRAPH7 )
( pointing SATELLITE0 STAR6 )
( pointing SATELLITE4 STAR6 )
( have_image STAR6 SPECTROGRAPH6 )
( have_image STAR6 SPECTROGRAPH0 )
