( power_on INSTRUMENT8 )
( power_on INSTRUMENT0 )
( power_on INSTRUMENT7 )
( power_on INSTRUMENT2 )
( pointing SATELLITE4 GROUNDSTATION2 )
( pointing SATELLITE0 GROUNDSTATION2 )
( pointing SATELLITE3 GROUNDSTATION1 )
( calibrated INSTRUMENT8 )
( calibrated INSTRUMENT0 )
( calibrated INSTRUMENT2 )
( pointing SATELLITE0 PHENOMENON24 )
( pointing SATELLITE2 PLANET34 )
( pointing SATELLITE3 PHENOMENON38 )
( have_image PLANET34 INFRARED1 )
( have_image PHENOMENON38 INFRARED0 )
( have_image PHENOMENON48 INFRARED1 )
( have_image PLANET35 IMAGE2 )
( pointing SATELLITE4 PHENOMENON5 )
( pointing SATELLITE2 PLANET13 )
( pointing SATELLITE3 PHENOMENON19 )
( pointing SATELLITE1 PHENOMENON43 )
( pointing SATELLITE0 STAR40 )
( have_image PHENOMENON5 IMAGE2 )
( have_image PHENOMENON19 INFRARED0 )
( have_image PHENOMENON43 INFRARED0 )
( pointing SATELLITE3 PLANET46 )
( pointing SATELLITE1 PHENOMENON52 )
( pointing SATELLITE3 PLANET3 )
( have_image PLANET29 IMAGE2 )
( have_image STAR18 INFRARED1 )
( have_image STAR25 IMAGE2 )
( have_image PLANET3 INFRARED0 )
( pointing SATELLITE1 STAR36 )
( pointing SATELLITE0 PLANET51 )
( pointing SATELLITE3 PHENOMENON6 )
( have_image PLANET21 IMAGE2 )
( have_image PLANET49 INFRARED1 )
( have_image PLANET51 IMAGE2 )
( have_image PHENOMENON6 INFRARED0 )
( pointing SATELLITE4 PLANET3 )
( pointing SATELLITE1 STAR10 )
( pointing SATELLITE4 PLANET45 )
( pointing SATELLITE0 PHENOMENON30 )
( have_image PHENOMENON26 INFRARED1 )
( have_image STAR10 INFRARED0 )
( pointing SATELLITE3 STAR42 )
( have_image PLANET45 IMAGE2 )
( have_image PHENOMENON30 IMAGE2 )
( pointing SATELLITE2 PHENOMENON23 )
( pointing SATELLITE1 PHENOMENON27 )
( have_image STAR42 INFRARED0 )
( pointing SATELLITE4 PHENOMENON31 )
( have_image PHENOMENON23 INFRARED1 )
( have_image PHENOMENON27 INFRARED0 )
( pointing SATELLITE3 STAR7 )
( have_image STAR44 IMAGE2 )
( pointing SATELLITE2 STAR28 )
( pointing SATELLITE1 PLANET39 )
( have_image STAR7 INFRARED0 )
( pointing SATELLITE4 STAR41 )
( pointing SATELLITE0 PLANET46 )
( have_image PLANET39 INFRARED0 )
( pointing SATELLITE3 PLANET4 )
( pointing SATELLITE2 STAR11 )
( have_image PLANET4 INFRARED0 )
( pointing SATELLITE4 PHENOMENON32 )
( have_image STAR11 INFRARED1 )
( have_image PLANET33 INFRARED0 )
( pointing SATELLITE3 PLANET9 )
( pointing SATELLITE2 STAR37 )
( have_image PLANET9 INFRARED0 )
( have_image STAR37 INFRARED1 )
( pointing SATELLITE2 PHENOMENON24 )
( have_image PHENOMENON47 INFRARED0 )
