( power_on INSTRUMENT0 )
( pointing SATELLITE0 STAR2 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE0 PHENOMENON43 )
( pointing SATELLITE3 PLANET11 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( have_image PLANET11 INFRARED1 )
( pointing SATELLITE0 PHENOMENON45 )
( pointing SATELLITE3 PHENOMENON47 )
( have_image PHENOMENON45 THERMOGRAPH2 )
( have_image PHENOMENON47 INFRARED0 )
( power_on instrument9 )
( pointing satellite1 phenomenon60 )
( pointing SATELLITE0 PLANET19 )
( pointing SATELLITE3 STAR35 )
( have_image PLANET19 INFRARED0 )
( calibrated instrument7 )
( have_image STAR35 THERMOGRAPH2 )
( pointing SATELLITE0 PHENOMENON62 )
( pointing SATELLITE3 PLANET28 )
( have_image PHENOMENON62 INFRARED0 )
( have_image PLANET28 INFRARED0 )
( pointing SATELLITE0 PHENOMENON46 )
( pointing SATELLITE3 PLANET25 )
( have_image PHENOMENON46 INFRARED0 )
( have_image PLANET25 INFRARED0 )
( pointing SATELLITE0 PLANET16 )
( have_image planet3 infrared0 )
( pointing satellite1 planet21 )
( pointing SATELLITE3 PHENOMENON69 )
( pointing satellite6 planet64 )
( have_image PLANET16 INFRARED1 )
( have_image PHENOMENON69 INFRARED0 )
( pointing SATELLITE0 STAR30 )
( pointing SATELLITE3 PLANET68 )
( have_image STAR30 INFRARED1 )
( have_image star58 infrared0 )
( have_image PLANET68 INFRARED0 )
( pointing satellite4 star27 )
( pointing SATELLITE0 PHENOMENON15 )
( pointing SATELLITE3 PLANET36 )
( have_image PHENOMENON15 INFRARED0 )
( pointing SATELLITE3 PHENOMENON33 )
( pointing SATELLITE0 STAR35 )
( have_image PHENOMENON33 INFRARED0 )
( have_image phenomenon9 infrared0 )
( pointing SATELLITE0 PHENOMENON34 )
( have_image STAR4 INFRARED1 )
( pointing SATELLITE3 PLANET42 )
( have_image PHENOMENON34 INFRARED1 )
( pointing SATELLITE6 PLANET63 )
( have_image PLANET42 INFRARED0 )
( pointing satellite3 planet24 )
( pointing SATELLITE0 PLANET12 )
( have_image PLANET63 THERMOGRAPH2 )
( pointing SATELLITE3 PLANET10 )
( have_image PLANET12 THERMOGRAPH2 )
( pointing SATELLITE6 PHENOMENON57 )
( have_image PLANET10 INFRARED0 )
( pointing SATELLITE0 PHENOMENON60 )
( have_image PHENOMENON57 THERMOGRAPH2 )
( pointing SATELLITE3 STAR54 )
( have_image PHENOMENON60 INFRARED0 )
( pointing SATELLITE5 STAR65 )
( have_image STAR54 INFRARED0 )
( pointing SATELLITE6 PHENOMENON8 )
( have_image STAR65 INFRARED1 )
( pointing SATELLITE6 PLANET21 )
( have_image STAR37 THERMOGRAPH2 )
( pointing SATELLITE5 STAR6 )
( have_image PLANET21 INFRARED0 )
( pointing SATELLITE1 PHENOMENON55 )
( have_image STAR6 INFRARED1 )
( pointing SATELLITE6 PLANET41 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( have_image PLANET41 THERMOGRAPH2 )
( pointing SATELLITE3 STAR38 )
( have_image STAR38 THERMOGRAPH2 )
( have_image planet21 infrared0 )
( pointing SATELLITE3 STAR53 )
( have_image STAR53 INFRARED1 )
( pointing SATELLITE3 PHENOMENON20 )
( have_image PHENOMENON20 INFRARED1 )
