( at plane1 city3 )
( at PLANE1 CITY0 )
( fuel-level PLANE1 FL1 )
( in PERSON3 PLANE1 )
( fuel-level PLANE3 FL1 )
( in person5 plane2 )
( at PLANE2 CITY5 )
( fuel-level PLANE2 FL5 )
( at PLANE1 CITY1 )
( at plane3 city1 )
( fuel-level PLANE1 FL0 )
( in PERSON5 PLANE1 )
( at PERSON3 CITY1 )
( at PLANE3 CITY2 )
( fuel-level PLANE3 FL0 )
( at PLANE2 CITY4 )
( fuel-level PLANE2 FL4 )
( at PERSON1 CITY2 )
( at PERSON8 CITY4 )
( fuel-level PLANE3 FL1 )
( fuel-level plane3 fl6 )
( fuel-level PLANE2 FL5 )
( at PLANE1 CITY4 )
( fuel-level PLANE1 FL0 )
( at PERSON5 CITY4 )
( at PLANE3 CITY1 )
( fuel-level PLANE3 FL0 )
( at PERSON2 CITY1 )
( at PLANE2 CITY1 )
( fuel-level PLANE2 FL2 )
( fuel-level plane2 fl4 )
( at PLANE2 CITY3 )
( fuel-level PLANE2 FL0 )
( at PERSON6 CITY1 )
( at PERSON7 CITY3 )
