( power_on INSTRUMENT5 )
( calibrated INSTRUMENT5 )
( pointing SATELLITE1 PHENOMENON20 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE0 PHENOMENON13 )
( have_image PHENOMENON20 SPECTROGRAPH0 )
( pointing SATELLITE3 PLANET9 )
( have_image PLANET9 SPECTROGRAPH6 )
( pointing SATELLITE3 STAR10 )
( have_image STAR14 INFRARED2 )
( have_image STAR10 INFRARED3 )
( pointing SATELLITE0 STAR3 )
( have_image PHENOMENON7 THERMOGRAPH1 )
( pointing SATELLITE0 PLANET15 )
( have_image PLANET15 INFRARED2 )
( have_image STAR19 THERMOGRAPH1 )
( pointing SATELLITE0 PLANET9 )
( pointing SATELLITE1 STAR12 )
( pointing SATELLITE0 STAR18 )
( have_image STAR12 THERMOGRAPH1 )
( pointing SATELLITE3 STAR19 )
( pointing SATELLITE2 PHENOMENON13 )
( pointing SATELLITE0 PHENOMENON11 )
( have_image PHENOMENON13 INFRARED7 )
( have_image PHENOMENON11 INFRARED2 )
( pointing SATELLITE3 PLANET21 )
( have_image PLANET22 INFRARED2 )
( pointing SATELLITE0 STAR23 )
( have_image STAR23 INFRARED2 )
