( power_on INSTRUMENT8 )
( power_on INSTRUMENT4 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE2 PLANET34 )
( pointing SATELLITE0 PLANET35 )
( pointing SATELLITE4 PHENOMENON5 )
( calibrated instrument4 )
( pointing SATELLITE2 PLANET13 )
( pointing SATELLITE3 PHENOMENON19 )
( pointing SATELLITE1 PHENOMENON43 )
( pointing SATELLITE0 STAR40 )
( have_image PLANET13 INFRARED1 )
( have_image STAR40 IMAGE2 )
( pointing SATELLITE4 PLANET29 )
( pointing SATELLITE2 STAR18 )
( have_image PLANET29 IMAGE2 )
( have_image STAR25 IMAGE2 )
( have_image PLANET3 INFRARED0 )
( have_image PLANET21 IMAGE2 )
( have_image STAR36 INFRARED1 )
( pointing SATELLITE4 PLANET3 )
( pointing SATELLITE1 STAR10 )
( pointing SATELLITE0 PHENOMENON30 )
( pointing SATELLITE3 PHENOMENON43 )
( power_on instrument9 )
( power_on instrument8 )
( have_image STAR10 INFRARED0 )
( pointing SATELLITE3 STAR42 )
( have_image PLANET45 IMAGE2 )
( pointing SATELLITE2 PHENOMENON23 )
( pointing SATELLITE0 STAR44 )
( pointing satellite3 phenomenon32 )
( have_image PHENOMENON27 INFRARED0 )
( pointing SATELLITE2 STAR28 )
( have_image STAR7 INFRARED0 )
( pointing SATELLITE4 STAR41 )
( have_image PLANET39 INFRARED0 )
( pointing SATELLITE2 STAR11 )
( pointing SATELLITE1 PLANET33 )
( pointing SATELLITE4 PHENOMENON32 )
( have_image STAR11 INFRARED1 )
( have_image PLANET33 INFRARED0 )
( have_image PHENOMENON32 IMAGE2 )
( have_image PLANET9 INFRARED0 )
( pointing satellite3 planet33 )
( have_image PHENOMENON47 INFRARED0 )
( pointing satellite3 phenomenon47 )
( have_image PHENOMENON24 INFRARED1 )
