( power_on INSTRUMENT13 )
( pointing SATELLITE5 STAR2 )
( pointing SATELLITE6 PLANET41 )
( calibrated INSTRUMENT13 )
( pointing SATELLITE5 PHENOMENON40 )
( have_image PLANET41 IMAGE1 )
( calibrated INSTRUMENT1 )
( pointing satellite0 phenomenon18 )
( pointing SATELLITE0 STAR23 )
( have_image PHENOMENON40 IMAGE1 )
( have_image STAR23 IMAGE1 )
( pointing SATELLITE3 STAR27 )
( have_image STAR52 IMAGE1 )
( pointing satellite2 star29 )
( pointing SATELLITE0 PLANET51 )
( have_image STAR27 INFRARED0 )
( calibrated instrument1 )
( pointing SATELLITE6 PHENOMENON30 )
( pointing SATELLITE2 STAR49 )
( have_image PLANET51 IMAGE1 )
( pointing SATELLITE2 PLANET17 )
( have_image PHENOMENON30 IMAGE1 )
( pointing SATELLITE0 PLANET20 )
( pointing SATELLITE2 PHENOMENON28 )
( pointing SATELLITE6 PHENOMENON18 )
( have_image PHENOMENON18 IMAGE1 )
( have_image planet33 infrared0 )
( pointing SATELLITE6 PHENOMENON44 )
( pointing SATELLITE2 STAR49 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE0 PLANET42 )
( pointing SATELLITE2 STAR26 )
( have_image PLANET42 IMAGE1 )
( have_image STAR26 SPECTROGRAPH2 )
( have_image PHENOMENON28 SPECTROGRAPH2 )
( pointing SATELLITE0 PHENOMENON8 )
( pointing SATELLITE4 PHENOMENON8 )
( have_image STAR3 INFRARED0 )
( power_on instrument5 )
( have_image STAR39 IMAGE1 )
( have_image STAR25 INFRARED0 )
( pointing SATELLITE2 PLANET17 )
( have_image PLANET35 SPECTROGRAPH2 )
( pointing SATELLITE6 STAR45 )
( have_image PLANET43 IMAGE1 )
( pointing SATELLITE4 PHENOMENON5 )
( have_image STAR45 IMAGE1 )
( have_image STAR49 INFRARED0 )
( pointing SATELLITE0 STAR13 )
( pointing SATELLITE2 PHENOMENON11 )
( have_image STAR13 IMAGE1 )
( pointing SATELLITE4 STAR9 )
( pointing SATELLITE0 PLANET33 )
( pointing satellite2 planet17 )
( pointing SATELLITE2 STAR10 )
( calibrated instrument3 )
( have_image STAR9 SPECTROGRAPH2 )
( pointing SATELLITE6 STAR4 )
( have_image STAR10 SPECTROGRAPH2 )
( have_image STAR4 SPECTROGRAPH2 )
( pointing SATELLITE0 PLANET20 )
( pointing SATELLITE2 PLANET19 )
( pointing SATELLITE6 STAR16 )
( have_image phenomenon30 spectrograph2 )
( pointing SATELLITE0 STAR24 )
( have_image STAR16 IMAGE1 )
( have_image PLANET31 SPECTROGRAPH2 )
( pointing satellite6 star29 )
( pointing SATELLITE6 PLANET48 )
( have_image PLANET48 IMAGE1 )
