( power_on INSTRUMENT3 )
( power_on INSTRUMENT0 )
( calibrated INSTRUMENT14 )
( pointing SATELLITE5 PHENOMENON60 )
( have_image PLANET25 INFRARED0 )
( pointing SATELLITE5 STAR7 )
( have_image PHENOMENON26 THERMOGRAPH2 )
( pointing SATELLITE6 STAR6 )
( have_image STAR30 INFRARED1 )
( have_image PHENOMENON15 INFRARED0 )
( pointing SATELLITE3 PHENOMENON61 )
( have_image PHENOMENON62 INFRARED0 )
( pointing SATELLITE6 PLANET36 )
( have_image STAR22 INFRARED1 )
( pointing SATELLITE1 PLANET11 )
( have_image PHENOMENON43 THERMOGRAPH2 )
