( power_on INSTRUMENT1 )
( power_on INSTRUMENT7 )
( power_on INSTRUMENT10 )
( power_on INSTRUMENT5 )
( power_on INSTRUMENT3 )
( power_on INSTRUMENT8 )
( pointing SATELLITE0 STAR0 )
( pointing SATELLITE3 STAR31 )
( pointing SATELLITE5 STAR0 )
( pointing SATELLITE2 STAR2 )
( pointing SATELLITE1 STAR0 )
( pointing SATELLITE4 STAR0 )
( calibrated INSTRUMENT1 )
( pointing SATELLITE3 GROUNDSTATION1 )
( calibrated INSTRUMENT10 )
( calibrated INSTRUMENT5 )
( calibrated INSTRUMENT3 )
( pointing SATELLITE0 PLANET5 )
( calibrated INSTRUMENT8 )
( pointing SATELLITE5 STAR65 )
( pointing SATELLITE2 PHENOMENON9 )
( pointing SATELLITE1 PLANET11 )
( pointing SATELLITE4 STAR6 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE3 PHENOMENON26 )
( have_image PLANET5 THERMOGRAPH2 )
( have_image STAR65 INFRARED1 )
( have_image PHENOMENON9 INFRARED0 )
( have_image PLANET11 INFRARED1 )
( have_image STAR6 INFRARED1 )
( have_image PHENOMENON26 THERMOGRAPH2 )
( pointing SATELLITE0 PHENOMENON52 )
( pointing SATELLITE5 STAR70 )
( pointing SATELLITE2 STAR7 )
( pointing SATELLITE1 PLANET50 )
( pointing SATELLITE4 PHENOMENON69 )
( pointing SATELLITE3 PLANET12 )
( have_image PHENOMENON52 INFRARED1 )
( have_image STAR70 INFRARED1 )
( have_image STAR7 INFRARED0 )
( have_image PLANET50 THERMOGRAPH2 )
( have_image PHENOMENON69 INFRARED0 )
( have_image PLANET12 THERMOGRAPH2 )
( pointing SATELLITE0 PHENOMENON57 )
( pointing SATELLITE2 PHENOMENON72 )
( pointing SATELLITE1 PHENOMENON45 )
( pointing SATELLITE5 PHENOMENON72 )
( pointing SATELLITE4 PLANET68 )
( pointing SATELLITE3 PLANET28 )
( pointing SATELLITE5 PHENOMENON33 )
( have_image PHENOMENON57 THERMOGRAPH2 )
( have_image PHENOMENON72 INFRARED0 )
( have_image PHENOMENON45 THERMOGRAPH2 )
( have_image PLANET68 INFRARED0 )
( pointing SATELLITE3 PLANET32 )
( have_image PHENOMENON33 INFRARED0 )
( pointing SATELLITE0 STAR23 )
( pointing SATELLITE1 PLANET39 )
( pointing SATELLITE2 PHENOMENON15 )
( pointing SATELLITE4 STAR54 )
( have_image PLANET32 THERMOGRAPH2 )
( pointing SATELLITE2 PHENOMENON14 )
( pointing SATELLITE5 PLANET28 )
( have_image STAR23 THERMOGRAPH2 )
( have_image PLANET39 INFRARED1 )
( have_image STAR54 INFRARED0 )
( pointing SATELLITE3 STAR37 )
( have_image PHENOMENON14 INFRARED0 )
( have_image PLANET28 INFRARED0 )
( pointing SATELLITE0 STAR59 )
( pointing SATELLITE1 STAR38 )
( pointing SATELLITE4 PHENOMENON47 )
( have_image STAR37 THERMOGRAPH2 )
( pointing SATELLITE2 PLANET21 )
( pointing SATELLITE5 PLANET25 )
( have_image STAR59 THERMOGRAPH2 )
( have_image STAR38 THERMOGRAPH2 )
( have_image PHENOMENON47 INFRARED0 )
( pointing SATELLITE3 STAR35 )
( have_image PLANET21 INFRARED0 )
( have_image PLANET25 INFRARED0 )
( pointing SATELLITE0 PHENOMENON61 )
( pointing SATELLITE1 PHENOMENON8 )
( pointing SATELLITE4 PLANET36 )
( have_image STAR35 THERMOGRAPH2 )
( pointing SATELLITE2 PLANET16 )
( pointing SATELLITE5 PLANET29 )
( have_image PHENOMENON61 THERMOGRAPH2 )
( have_image PHENOMENON8 THERMOGRAPH2 )
( have_image PLANET36 INFRARED0 )
( pointing SATELLITE3 PLANET49 )
( have_image PLANET16 INFRARED1 )
( have_image PLANET29 INFRARED0 )
( pointing SATELLITE0 STAR2 )
( pointing SATELLITE1 PHENOMENON34 )
( pointing SATELLITE4 STAR58 )
( have_image PLANET49 THERMOGRAPH2 )
( pointing SATELLITE0 PLANET24 )
( pointing SATELLITE2 STAR27 )
( pointing SATELLITE5 PLANET11 )
( have_image PHENOMENON34 INFRARED1 )
( have_image STAR58 INFRARED1 )
( pointing SATELLITE5 PLANET71 )
( pointing SATELLITE3 PLANET41 )
( have_image PLANET24 INFRARED1 )
( have_image STAR27 INFRARED0 )
( pointing SATELLITE1 STAR0 )
( pointing SATELLITE4 STAR30 )
( have_image PLANET71 INFRARED1 )
( have_image PLANET41 THERMOGRAPH2 )
( pointing SATELLITE0 PLANET63 )
( pointing SATELLITE1 STAR40 )
( pointing SATELLITE2 STAR17 )
( have_image STAR30 INFRARED1 )
( pointing SATELLITE2 PHENOMENON15 )
( pointing SATELLITE3 PLANET48 )
( pointing SATELLITE5 PLANET42 )
( have_image PLANET63 THERMOGRAPH2 )
( have_image STAR40 THERMOGRAPH2 )
( pointing SATELLITE4 PLANET67 )
( have_image PHENOMENON15 INFRARED0 )
( have_image PLANET48 THERMOGRAPH2 )
( pointing SATELLITE0 PHENOMENON62 )
( have_image PLANET42 INFRARED0 )
( pointing SATELLITE1 PHENOMENON51 )
( pointing SATELLITE4 PLANET44 )
( pointing SATELLITE2 PLANET10 )
( pointing SATELLITE3 PHENOMENON43 )
( have_image PHENOMENON62 INFRARED0 )
( have_image PHENOMENON51 THERMOGRAPH2 )
( have_image PLANET44 INFRARED1 )
( have_image PLANET10 INFRARED0 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( pointing SATELLITE0 STAR4 )
( pointing SATELLITE1 PHENOMENON20 )
( pointing SATELLITE2 PLANET67 )
( have_image STAR4 INFRARED1 )
( have_image PHENOMENON20 INFRARED1 )
( have_image PLANET67 THERMOGRAPH2 )
( pointing SATELLITE1 PLANET3 )
( pointing SATELLITE0 PLANET56 )
( pointing SATELLITE2 PHENOMENON62 )
( have_image PLANET3 INFRARED1 )
( have_image PLANET56 THERMOGRAPH2 )
( pointing SATELLITE2 PLANET64 )
( pointing SATELLITE1 STAR53 )
( pointing SATELLITE0 STAR22 )
( have_image PLANET64 INFRARED0 )
( have_image STAR53 INFRARED1 )
( have_image STAR22 INFRARED1 )
( pointing SATELLITE2 PLANET19 )
( pointing SATELLITE1 PHENOMENON55 )
( pointing SATELLITE0 PHENOMENON60 )
( have_image PLANET19 INFRARED0 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( have_image PHENOMENON60 INFRARED0 )
( pointing SATELLITE2 PHENOMENON13 )
( pointing SATELLITE0 PHENOMENON46 )
( pointing SATELLITE2 PLANET18 )
( have_image PHENOMENON46 INFRARED0 )
( have_image PLANET18 INFRARED0 )
