( power_on INSTRUMENT7 )
( power_on INSTRUMENT16 )
( power_on INSTRUMENT11 )
( pointing SATELLITE0 STAR2 )
( calibrated INSTRUMENT16 )
( pointing SATELLITE0 PHENOMENON44 )
( pointing SATELLITE5 STAR27 )
( have_image PLANET17 SPECTROGRAPH2 )
( have_image STAR26 SPECTROGRAPH2 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE2 PLANET35 )
( pointing SATELLITE4 STAR22 )
( have_image PLANET35 SPECTROGRAPH2 )
( have_image PLANET20 IMAGE1 )
( pointing SATELLITE6 STAR24 )
( pointing SATELLITE0 PLANET48 )
( pointing SATELLITE5 PLANET15 )
( have_image STAR24 IMAGE1 )
( have_image STAR4 SPECTROGRAPH2 )
( have_image PLANET48 IMAGE1 )
( have_image STAR29 SPECTROGRAPH2 )
( pointing SATELLITE5 PHENOMENON30 )
( have_image PHENOMENON7 SPECTROGRAPH2 )
( have_image PHENOMENON34 INFRARED0 )
( have_image PHENOMENON30 IMAGE1 )
( pointing SATELLITE2 PLANET19 )
( have_image PHENOMENON8 IMAGE1 )
( pointing SATELLITE4 STAR52 )
( have_image STAR3 INFRARED0 )
( have_image STAR52 IMAGE1 )
( pointing SATELLITE2 STAR49 )
( pointing SATELLITE0 PLANET33 )
( have_image PLANET43 IMAGE1 )
( pointing SATELLITE6 STAR39 )
( pointing SATELLITE6 STAR23 )
( pointing SATELLITE2 PHENOMENON36 )
( pointing SATELLITE5 STAR13 )
( have_image STAR13 IMAGE1 )
( have_image PLANET31 SPECTROGRAPH2 )
( pointing SATELLITE2 PLANET35 )
( pointing SATELLITE5 STAR12 )
( have_image STAR12 INFRARED0 )
( pointing SATELLITE6 STAR47 )
( have_image STAR37 SPECTROGRAPH2 )
( pointing SATELLITE6 PHENOMENON5 )
