( power_on INSTRUMENT7 )
( calibrated INSTRUMENT16 )
( pointing SATELLITE0 PLANET48 )
( have_image PLANET41 IMAGE1 )
( have_image PHENOMENON7 SPECTROGRAPH2 )
( have_image STAR52 IMAGE1 )
( pointing SATELLITE2 PLANET51 )
( have_image STAR24 IMAGE1 )
( pointing SATELLITE6 PHENOMENON30 )
( pointing SATELLITE2 STAR49 )
( pointing SATELLITE2 PLANET17 )
( pointing SATELLITE2 PHENOMENON28 )
( pointing SATELLITE0 STAR16 )
( pointing SATELLITE2 STAR21 )
( have_image PHENOMENON18 IMAGE1 )
( pointing SATELLITE6 PHENOMENON44 )
( have_image STAR12 INFRARED0 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE3 PHENOMENON34 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image STAR26 SPECTROGRAPH2 )
( have_image PHENOMENON28 SPECTROGRAPH2 )
( pointing SATELLITE3 STAR12 )
( have_image PHENOMENON40 IMAGE1 )
( pointing SATELLITE4 PHENOMENON8 )
( have_image STAR25 INFRARED0 )
( pointing SATELLITE2 PLANET17 )
( have_image STAR45 IMAGE1 )
( have_image STAR49 INFRARED0 )
( pointing SATELLITE2 PHENOMENON11 )
( pointing SATELLITE4 STAR9 )
( pointing SATELLITE2 STAR10 )
( have_image PLANET42 IMAGE1 )
( have_image STAR10 SPECTROGRAPH2 )
( pointing SATELLITE2 PLANET19 )
( pointing SATELLITE0 STAR13 )
