( power_on INSTRUMENT10 )
( power_on INSTRUMENT7 )
( pointing SATELLITE6 GROUNDSTATION1 )
( calibrated INSTRUMENT14 )
( calibrated INSTRUMENT10 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE6 PLANET18 )
( calibrated INSTRUMENT5 )
( pointing SATELLITE2 PLANET29 )
( have_image PLANET18 INFRARED0 )
( have_image PLANET16 INFRARED1 )
( have_image PLANET29 INFRARED0 )
( pointing SATELLITE5 PHENOMENON60 )
( pointing SATELLITE1 PLANET39 )
( pointing SATELLITE2 PLANET25 )
( pointing SATELLITE5 STAR7 )
( pointing SATELLITE1 PLANET12 )
( pointing SATELLITE3 PLANET49 )
( pointing SATELLITE0 PLANET64 )
( have_image PLANET12 THERMOGRAPH2 )
( have_image PHENOMENON26 THERMOGRAPH2 )
( have_image PLANET3 INFRARED1 )
( have_image PLANET64 INFRARED0 )
( pointing SATELLITE6 STAR6 )
( have_image STAR54 INFRARED0 )
( have_image STAR30 INFRARED1 )
( have_image PLANET71 INFRARED1 )
( pointing SATELLITE0 STAR37 )
( have_image PHENOMENON8 THERMOGRAPH2 )
( pointing SATELLITE3 PHENOMENON61 )
( pointing SATELLITE0 PHENOMENON20 )
( have_image PHENOMENON34 INFRARED1 )
( have_image PHENOMENON20 INFRARED1 )
( pointing SATELLITE2 PHENOMENON60 )
( pointing SATELLITE5 STAR65 )
( pointing SATELLITE1 STAR53 )
( pointing SATELLITE2 PHENOMENON33 )
( have_image PLANET36 INFRARED0 )
( have_image STAR65 INFRARED1 )
( have_image PLANET50 THERMOGRAPH2 )
( pointing SATELLITE3 PLANET5 )
( pointing SATELLITE5 PHENOMENON9 )
( pointing SATELLITE0 PHENOMENON69 )
( have_image PHENOMENON9 INFRARED0 )
( have_image STAR4 INFRARED1 )
( have_image PHENOMENON46 INFRARED0 )
( have_image PHENOMENON69 INFRARED0 )
( pointing SATELLITE5 PLANET28 )
( pointing SATELLITE1 PHENOMENON52 )
( pointing SATELLITE0 PLANET63 )
( have_image PLANET42 INFRARED0 )
( have_image PLANET28 INFRARED0 )
( pointing SATELLITE3 STAR59 )
( have_image PLANET63 THERMOGRAPH2 )
( pointing SATELLITE1 STAR70 )
( have_image PLANET21 INFRARED0 )
( have_image STAR59 THERMOGRAPH2 )
( have_image STAR22 INFRARED1 )
( have_image STAR40 THERMOGRAPH2 )
( pointing SATELLITE1 GROUNDSTATION1 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( have_image STAR35 THERMOGRAPH2 )
