( power_on INSTRUMENT13 )
( power_on INSTRUMENT7 )
( power_on INSTRUMENT11 )
( pointing SATELLITE2 STAR1 )
( pointing SATELLITE4 STAR0 )
( pointing SATELLITE3 STAR1 )
( calibrated INSTRUMENT16 )
( pointing SATELLITE6 PLANET41 )
( calibrated INSTRUMENT13 )
( calibrated INSTRUMENT8 )
( pointing SATELLITE5 STAR3 )
( pointing SATELLITE4 PLANET15 )
( pointing SATELLITE3 PLANET14 )
( have_image PLANET41 IMAGE1 )
( pointing SATELLITE4 PLANET35 )
( have_image STAR3 INFRARED0 )
( have_image STAR10 SPECTROGRAPH2 )
( have_image PLANET14 IMAGE1 )
( pointing SATELLITE6 PHENOMENON18 )
( have_image PLANET35 SPECTROGRAPH2 )
( pointing SATELLITE5 STAR39 )
( pointing SATELLITE2 STAR9 )
( pointing SATELLITE4 PHENOMENON11 )
( have_image STAR39 IMAGE1 )
( have_image STAR9 SPECTROGRAPH2 )
( have_image STAR16 IMAGE1 )
( pointing SATELLITE6 PLANET51 )
( pointing SATELLITE5 PHENOMENON40 )
( pointing SATELLITE2 PHENOMENON11 )
( pointing SATELLITE3 PLANET31 )
( have_image PHENOMENON40 IMAGE1 )
( have_image PHENOMENON11 SPECTROGRAPH2 )
( pointing SATELLITE5 PHENOMENON32 )
( pointing SATELLITE2 STAR26 )
( have_image STAR45 IMAGE1 )
( have_image STAR4 SPECTROGRAPH2 )
( pointing SATELLITE3 STAR24 )
( have_image PHENOMENON32 IMAGE1 )
( have_image STAR26 SPECTROGRAPH2 )
( pointing SATELLITE6 PLANET20 )
( pointing SATELLITE4 PHENOMENON7 )
( have_image STAR24 IMAGE1 )
( pointing SATELLITE5 STAR52 )
( pointing SATELLITE2 STAR29 )
( have_image PLANET20 IMAGE1 )
( have_image STAR52 IMAGE1 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE5 PLANET48 )
( pointing SATELLITE2 PLANET33 )
( pointing SATELLITE4 PLANET33 )
( have_image STAR25 INFRARED0 )
( pointing SATELLITE3 STAR22 )
( have_image PLANET48 IMAGE1 )
( have_image PLANET33 INFRARED0 )
( pointing SATELLITE2 PLANET31 )
( have_image PLANET19 INFRARED0 )
( pointing SATELLITE4 STAR21 )
( have_image PLANET31 SPECTROGRAPH2 )
( have_image PHENOMENON30 IMAGE1 )
( pointing SATELLITE5 PLANET17 )
( pointing SATELLITE2 PHENOMENON34 )
( have_image STAR21 SPECTROGRAPH2 )
( pointing SATELLITE4 STAR49 )
( have_image PLANET17 SPECTROGRAPH2 )
( have_image PHENOMENON34 INFRARED0 )
( pointing SATELLITE2 STAR37 )
( have_image STAR49 INFRARED0 )
( pointing SATELLITE4 STAR50 )
( have_image STAR27 INFRARED0 )
( have_image STAR37 SPECTROGRAPH2 )
( pointing SATELLITE5 STAR12 )
( pointing SATELLITE2 STAR47 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image STAR12 INFRARED0 )
( pointing SATELLITE2 PHENOMENON36 )
( pointing SATELLITE4 PLANET42 )
( pointing SATELLITE5 PHENOMENON8 )
( pointing SATELLITE2 PHENOMENON7 )
( have_image PLANET42 IMAGE1 )
( have_image PHENOMENON8 IMAGE1 )
( have_image PHENOMENON7 SPECTROGRAPH2 )
