( calibrated INSTRUMENT4 )
( pointing SATELLITE1 PLANET10 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE0 PHENOMENON13 )
( have_image PLANET10 THERMOGRAPH2 )
( have_image PHENOMENON13 SPECTROGRAPH4 )
( pointing SATELLITE1 STAR14 )
( pointing SATELLITE0 PHENOMENON6 )
( have_image STAR14 THERMOGRAPH2 )
( pointing SATELLITE1 STAR19 )
( pointing SATELLITE0 PHENOMENON17 )
( have_image STAR19 THERMOGRAPH2 )
( have_image PHENOMENON17 SPECTROGRAPH4 )
( pointing SATELLITE1 PLANET20 )
( pointing SATELLITE0 STAR2 )
( pointing SATELLITE0 STAR18 )
( pointing SATELLITE1 PHENOMENON21 )
( have_image STAR18 SPECTROGRAPH4 )
( have_image PHENOMENON21 THERMOGRAPH2 )
( pointing SATELLITE1 STAR7 )
( have_image STAR9 SPECTROGRAPH4 )
( pointing SATELLITE0 STAR23 )
( pointing SATELLITE1 PLANET11 )
( have_image PLANET11 INFRARED3 )
( pointing SATELLITE1 STAR15 )
( have_image STAR22 INFRARED1 )
( have_image STAR15 INFRARED3 )
( have_image PLANET16 INFRARED1 )
( have_image PLANET5 INFRARED0 )
( pointing SATELLITE1 PHENOMENON24 )
( have_image PHENOMENON24 INFRARED0 )
