( power_on INSTRUMENT0 )
( calibrated INSTRUMENT8 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE0 STAR22 )
( have_image PLANET10 THERMOGRAPH2 )
( have_image STAR22 INFRARED1 )
( pointing SATELLITE1 STAR14 )
( have_image STAR14 THERMOGRAPH2 )
( have_image PLANET16 INFRARED1 )
( pointing SATELLITE0 PLANET8 )
( have_image STAR19 THERMOGRAPH2 )
( have_image PLANET8 INFRARED1 )
( have_image PLANET20 THERMOGRAPH2 )
( have_image PHENOMENON17 SPECTROGRAPH4 )
( have_image PHENOMENON21 THERMOGRAPH2 )
( pointing SATELLITE1 STAR3 )
( pointing SATELLITE1 PLANET11 )
( have_image STAR23 SPECTROGRAPH4 )
( pointing SATELLITE1 PLANET5 )
( have_image PLANET5 INFRARED0 )
