( power_on INSTRUMENT6 )
( pointing SATELLITE3 STAR0 )
( power_on instrument7 )
( calibrated INSTRUMENT6 )
( pointing SATELLITE1 PHENOMENON38 )
( pointing satellite2 planet22 )
( have_image STAR40 IMAGE2 )
( have_image PHENOMENON38 INFRARED0 )
( pointing SATELLITE2 PLANET34 )
( have_image planet22 infrared1 )
( pointing satellite0 phenomenon38 )
( have_image PHENOMENON26 INFRARED1 )
( have_image PLANET34 INFRARED1 )
( calibrated instrument9 )
( pointing SATELLITE3 PHENOMENON24 )
( pointing SATELLITE2 PLANET12 )
( pointing SATELLITE3 PHENOMENON23 )
( have_image PHENOMENON48 INFRARED1 )
( have_image PHENOMENON23 INFRARED1 )
( have_image planet21 infrared1 )
( pointing SATELLITE3 STAR18 )
( have_image STAR18 INFRARED1 )
( pointing SATELLITE3 STAR11 )
( have_image PLANET35 IMAGE2 )
( have_image STAR11 INFRARED1 )
( pointing SATELLITE3 PLANET49 )
( pointing SATELLITE2 PHENOMENON52 )
( have_image PLANET13 INFRARED1 )
( have_image PLANET49 INFRARED1 )
( have_image PHENOMENON52 INFRARED1 )
( have_image planet45 image2 )
( pointing SATELLITE0 STAR41 )
( pointing SATELLITE2 PHENOMENON6 )
( have_image STAR41 IMAGE2 )
( have_image PLANET33 INFRARED0 )
( have_image PHENOMENON6 INFRARED0 )
( pointing SATELLITE0 PHENOMENON30 )
( pointing SATELLITE4 PLANET9 )
( pointing SATELLITE2 PHENOMENON27 )
( have_image PHENOMENON30 IMAGE2 )
( have_image PLANET9 INFRARED0 )
( have_image PHENOMENON27 INFRARED0 )
( pointing SATELLITE2 PLANET3 )
( have_image PLANET45 IMAGE2 )
( have_image PHENOMENON47 INFRARED0 )
( pointing satellite2 phenomenon31 )
( have_image PLANET3 INFRARED0 )
( pointing SATELLITE0 PLANET46 )
