( calibrated INSTRUMENT16 )
( pointing SATELLITE2 PHENOMENON19 )
( have_image PHENOMENON19 IMAGE2 )
( pointing SATELLITE2 PLANET22 )
( have_image PLANET13 SPECTROGRAPH6 )
( have_image PLANET18 INFRARED9 )
( have_image STAR10 SPECTROGRAPH6 )
( pointing SATELLITE1 PLANET7 )
( have_image PLANET22 SPECTROGRAPH6 )
( have_image PLANET13 INFRARED5 )
( pointing SATELLITE0 PLANET7 )
( pointing SATELLITE4 PHENOMENON14 )
( pointing SATELLITE0 STAR6 )
( pointing SATELLITE4 STAR6 )
( have_image STAR6 SPECTROGRAPH0 )
