( power_on INSTRUMENT7 )
( power_on INSTRUMENT22 )
( power_on INSTRUMENT0 )
( power_on INSTRUMENT10 )
( power_on INSTRUMENT20 )
( pointing SATELLITE1 STAR2 )
( pointing SATELLITE4 STAR2 )
( pointing SATELLITE0 GROUNDSTATION0 )
( pointing SATELLITE2 GROUNDSTATION4 )
( pointing SATELLITE3 STAR2 )
( calibrated INSTRUMENT7 )
( calibrated INSTRUMENT22 )
( calibrated INSTRUMENT0 )
( calibrated INSTRUMENT10 )
( calibrated INSTRUMENT20 )
( pointing SATELLITE1 PLANET9 )
( pointing SATELLITE4 PLANET17 )
( pointing SATELLITE0 PLANET17 )
( pointing SATELLITE2 PHENOMENON13 )
( pointing SATELLITE3 STAR14 )
( have_image PLANET9 SPECTROGRAPH6 )
( have_image PLANET9 SPECTROGRAPH0 )
( have_image PLANET17 IMAGE5 )
( have_image PLANET17 IMAGE4 )
( have_image PHENOMENON13 INFRARED7 )
( have_image STAR14 INFRARED2 )
( pointing SATELLITE1 STAR10 )
( pointing SATELLITE4 PLANET21 )
( pointing SATELLITE0 STAR14 )
( pointing SATELLITE2 PHENOMENON5 )
( pointing SATELLITE3 PLANET21 )
( pointing SATELLITE0 PLANET15 )
( have_image STAR10 SPECTROGRAPH6 )
( have_image PLANET21 IMAGE5 )
( have_image PHENOMENON5 INFRARED7 )
( have_image PHENOMENON5 IMAGE4 )
( have_image PLANET21 INFRARED3 )
( have_image PLANET15 INFRARED2 )
( pointing SATELLITE1 STAR12 )
( pointing SATELLITE4 PHENOMENON24 )
( pointing SATELLITE2 STAR16 )
( pointing SATELLITE3 PLANET22 )
( pointing SATELLITE0 PHENOMENON13 )
( have_image STAR12 SPECTROGRAPH6 )
( have_image STAR12 THERMOGRAPH1 )
( have_image PHENOMENON24 IMAGE5 )
( have_image STAR16 IMAGE4 )
( have_image PLANET22 INFRARED2 )
( have_image PHENOMENON13 INFRARED2 )
( pointing SATELLITE1 PHENOMENON24 )
( pointing SATELLITE4 PHENOMENON7 )
( pointing SATELLITE3 STAR19 )
( pointing SATELLITE0 STAR23 )
( have_image PHENOMENON24 SPECTROGRAPH6 )
( have_image PHENOMENON7 THERMOGRAPH1 )
( have_image STAR19 INFRARED3 )
( have_image STAR23 INFRARED2 )
( pointing SATELLITE1 PHENOMENON5 )
( pointing SATELLITE4 STAR19 )
( pointing SATELLITE3 STAR18 )
( pointing SATELLITE1 PHENOMENON20 )
( pointing SATELLITE0 PHENOMENON11 )
( have_image STAR19 THERMOGRAPH1 )
( have_image STAR18 INFRARED2 )
( have_image PHENOMENON20 SPECTROGRAPH0 )
( have_image PHENOMENON11 INFRARED2 )
( pointing SATELLITE3 STAR10 )
( have_image STAR10 INFRARED3 )
