( power_on INSTRUMENT3 )
( pointing SATELLITE2 STAR19 )
( pointing SATELLITE2 STAR1 )
( pointing SATELLITE4 PLANET15 )
( calibrated INSTRUMENT3 )
( pointing SATELLITE2 PHENOMENON12 )
( have_image PLANET15 THERMOGRAPH0 )
( have_image PHENOMENON12 IMAGE3 )
( pointing SATELLITE4 STAR4 )
( pointing SATELLITE2 PLANET9 )
( have_image PLANET23 THERMOGRAPH1 )
( pointing SATELLITE2 PLANET7 )
( have_image PLANET9 THERMOGRAPH0 )
( pointing SATELLITE3 PLANET6 )
( have_image PLANET7 IMAGE3 )
( pointing SATELLITE1 STAR26 )
( have_image PLANET6 IMAGE4 )
( pointing SATELLITE2 STAR14 )
( have_image STAR26 THERMOGRAPH0 )
( pointing SATELLITE3 PLANET25 )
( have_image STAR14 IMAGE3 )
( pointing SATELLITE1 STAR19 )
( have_image PLANET25 THERMOGRAPH1 )
( pointing SATELLITE2 PHENOMENON18 )
( have_image STAR19 THERMOGRAPH0 )
( pointing SATELLITE3 PLANET10 )
( have_image PHENOMENON18 IMAGE3 )
( pointing SATELLITE1 PLANET24 )
( pointing SATELLITE2 PLANET8 )
( have_image PLANET24 THERMOGRAPH2 )
( have_image PLANET8 IMAGE3 )
( pointing SATELLITE1 PLANET11 )
( pointing SATELLITE2 PLANET16 )
( have_image PLANET11 THERMOGRAPH2 )
( have_image PLANET16 IMAGE3 )
