( power_on INSTRUMENT5 )
( calibrated INSTRUMENT5 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE3 PLANET9 )
( have_image PLANET9 SPECTROGRAPH6 )
( have_image PLANET9 SPECTROGRAPH0 )
( pointing SATELLITE3 STAR10 )
( have_image PHENOMENON7 THERMOGRAPH1 )
( have_image PLANET15 INFRARED2 )
( have_image STAR19 THERMOGRAPH1 )
( pointing SATELLITE1 STAR12 )
( have_image PHENOMENON24 SPECTROGRAPH6 )
( have_image STAR18 INFRARED2 )
( pointing SATELLITE0 PHENOMENON11 )
( have_image STAR19 INFRARED3 )
( have_image PLANET22 INFRARED2 )
( have_image STAR23 INFRARED2 )
