( power_on INSTRUMENT8 )
( have_image STAR21 THERMOGRAPH0 )
( have_image PHENOMENON29 IMAGE1 )
( pointing satellite3 star10 )
( pointing SATELLITE1 PLANET34 )
( pointing SATELLITE1 STAR10 )
( have_image STAR10 THERMOGRAPH0 )
( have_image PLANET27 THERMOGRAPH0 )
( pointing SATELLITE1 PHENOMENON28 )
( pointing satellite2 phenomenon35 )
( have_image PHENOMENON28 THERMOGRAPH0 )
( pointing SATELLITE1 PHENOMENON18 )
( pointing satellite1 star9 )
( pointing SATELLITE2 STAR15 )
( power_on instrument3 )
( have_image planet38 spectrograph2 )
( pointing SATELLITE1 PLANET7 )
( have_image STAR15 THERMOGRAPH0 )
( have_image phenomenon28 thermograph0 )
( have_image PLANET7 THERMOGRAPH0 )
( pointing SATELLITE1 PLANET37 )
( have_image star33 thermograph0 )
( pointing SATELLITE2 STAR41 )
( pointing SATELLITE1 PHENOMENON40 )
( have_image PHENOMENON40 THERMOGRAPH0 )
( pointing SATELLITE1 STAR5 )
( pointing SATELLITE1 PHENOMENON6 )
( have_image PHENOMENON4 THERMOGRAPH0 )
( have_image PHENOMENON17 THERMOGRAPH0 )
( have_image STAR30 SPECTROGRAPH2 )
( have_image planet22 thermograph0 )
