( in person5 plane1 )
( in PERSON3 PLANE2 )
( fuel-level PLANE3 FL1 )
( in PERSON1 PLANE1 )
( at PLANE2 CITY4 )
( fuel-level PLANE2 FL1 )
( at PERSON3 CITY4 )
( at PERSON1 CITY2 )
( at PLANE2 CITY1 )
( fuel-level PLANE2 FL0 )
( at plane3 city1 )
( at PLANE1 CITY0 )
( fuel-level PLANE1 FL0 )
( in person1 plane3 )
( fuel-level PLANE1 FL1 )
( at PLANE1 CITY3 )
( fuel-level plane1 fl3 )
( fuel-level PLANE1 FL0 )
( in PERSON7 PLANE1 )
( at PERSON4 CITY3 )
( fuel-level PLANE1 FL1 )
( at PLANE1 CITY4 )
( fuel-level PLANE1 FL0 )
( at PERSON7 CITY4 )
( at PLANE1 CITY3 )
( fuel-level PLANE1 FL0 )
( fuel-level PLANE1 FL1 )
( at PLANE1 CITY4 )
( fuel-level PLANE1 FL0 )
( at PERSON6 CITY4 )
