( calibrated INSTRUMENT10 )
( pointing SATELLITE0 STAR2 )
( have_image STAR27 INFRARED0 )
( have_image phenomenon46 thermograph2 )
( pointing satellite4 star66 )
( pointing SATELLITE6 PHENOMENON26 )
( pointing satellite6 planet3 )
( pointing SATELLITE3 PLANET56 )
( calibrated instrument3 )
( pointing SATELLITE5 PHENOMENON34 )
( pointing satellite2 star37 )
( pointing SATELLITE0 PHENOMENON20 )
( pointing satellite4 star59 )
( pointing SATELLITE3 PHENOMENON57 )
( pointing SATELLITE5 PHENOMENON9 )
( pointing SATELLITE1 PHENOMENON52 )
( pointing SATELLITE0 PLANET63 )
( pointing SATELLITE2 PLANET19 )
( pointing satellite5 phenomenon72 )
( have_image PLANET21 INFRARED0 )
( pointing SATELLITE3 STAR40 )
( pointing satellite0 planet36 )
( have_image STAR40 THERMOGRAPH2 )
( have_image STAR35 THERMOGRAPH2 )
( pointing satellite6 phenomenon51 )
( pointing satellite5 phenomenon57 )
( pointing satellite4 star31 )
