( power_on instrument2 )
( power_on INSTRUMENT6 )
( pointing SATELLITE3 STAR40 )
( pointing SATELLITE1 PHENOMENON38 )
( have_image STAR40 IMAGE2 )
( have_image PHENOMENON38 INFRARED0 )
( pointing SATELLITE3 PHENOMENON26 )
( pointing SATELLITE2 PLANET34 )
( have_image PHENOMENON26 INFRARED1 )
( have_image PLANET34 INFRARED1 )
( pointing SATELLITE2 PLANET12 )
( have_image PHENOMENON24 INFRARED1 )
( pointing satellite3 phenomenon30 )
( have_image phenomenon27 image2 )
( pointing SATELLITE3 PHENOMENON23 )
( pointing SATELLITE3 STAR18 )
( have_image STAR18 INFRARED1 )
( pointing satellite0 planet29 )
( pointing SATELLITE1 PLANET35 )
( have_image PLANET21 IMAGE2 )
( pointing SATELLITE0 STAR41 )
( pointing SATELLITE0 PHENOMENON30 )
( pointing SATELLITE4 PLANET9 )
( pointing SATELLITE2 PLANET3 )
( have_image PLANET45 IMAGE2 )
( pointing SATELLITE4 PLANET50 )
( have_image PLANET46 IMAGE2 )
