( power_on INSTRUMENT6 )
( calibrated INSTRUMENT6 )
( have_image STAR40 IMAGE2 )
( have_image PHENOMENON38 INFRARED0 )
( have_image planet39 image2 )
( pointing satellite4 planet4 )
( pointing SATELLITE2 PLANET34 )
( pointing SATELLITE2 PHENOMENON48 )
( have_image PHENOMENON23 INFRARED1 )
( pointing SATELLITE1 PLANET22 )
( power_on instrument1 )
( pointing SATELLITE3 STAR11 )
( pointing SATELLITE2 PLANET21 )
( have_image STAR11 INFRARED1 )
( pointing SATELLITE2 PHENOMENON52 )
( pointing SATELLITE0 STAR41 )
( pointing SATELLITE2 PHENOMENON6 )
( have_image STAR41 IMAGE2 )
( have_image PLANET33 INFRARED0 )
( have_image PLANET9 INFRARED0 )
( have_image star44 infrared1 )
( pointing SATELLITE4 PHENOMENON47 )
( pointing satellite1 phenomenon31 )
( pointing SATELLITE2 PLANET3 )
( have_image planet33 infrared1 )
( have_image PLANET45 IMAGE2 )
( have_image PHENOMENON47 INFRARED0 )
( pointing satellite4 star16 )
( calibrated instrument8 )
( pointing SATELLITE4 PLANET50 )
( have_image PLANET46 IMAGE2 )
