( power_on INSTRUMENT7 )
( power_on INSTRUMENT13 )
( power_on INSTRUMENT12 )
( pointing SATELLITE7 GROUNDSTATION2 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE7 STAR15 )
( pointing SATELLITE5 PLANET21 )
( have_image PLANET17 THERMOGRAPH3 )
( have_image STAR18 IMAGE1 )
( have_image PHENOMENON9 INFRARED0 )
( pointing SATELLITE6 PLANET24 )
( have_image PLANET14 THERMOGRAPH4 )
( have_image PLANET6 SPECTROGRAPH2 )
( have_image PLANET23 THERMOGRAPH3 )
( have_image PLANET7 INFRARED0 )
( have_image PHENOMENON16 IMAGE1 )
( have_image PLANET22 IMAGE1 )
( pointing SATELLITE4 STAR13 )
( have_image PLANET24 INFRARED0 )
( pointing SATELLITE2 PHENOMENON5 )
( pointing SATELLITE1 PLANET20 )
( have_image STAR13 THERMOGRAPH3 )
( have_image PLANET11 IMAGE1 )
( have_image PLANET20 IMAGE1 )
