( power_on INSTRUMENT0 )
( pointing SATELLITE3 PLANET11 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( have_image PLANET11 INFRARED1 )
( have_image PHENOMENON45 THERMOGRAPH2 )
( pointing SATELLITE3 STAR35 )
( have_image STAR35 THERMOGRAPH2 )
( pointing SATELLITE0 PHENOMENON62 )
( have_image PLANET28 INFRARED0 )
( pointing SATELLITE3 PLANET25 )
( have_image PHENOMENON46 INFRARED0 )
( have_image PLANET25 INFRARED0 )
( have_image PLANET16 INFRARED1 )
( have_image PHENOMENON69 INFRARED0 )
( pointing SATELLITE0 PHENOMENON15 )
( pointing SATELLITE3 PLANET36 )
( pointing SATELLITE0 STAR35 )
( pointing SATELLITE6 PLANET63 )
( pointing SATELLITE3 PLANET10 )
( have_image PHENOMENON60 INFRARED0 )
( have_image STAR54 INFRARED0 )
( have_image STAR37 THERMOGRAPH2 )
( pointing SATELLITE5 STAR6 )
( have_image PLANET21 INFRARED0 )
( have_image STAR6 INFRARED1 )
( pointing SATELLITE6 PLANET41 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( have_image STAR38 THERMOGRAPH2 )
( pointing SATELLITE3 PHENOMENON20 )
