( power_on INSTRUMENT10 )
( calibrated instrument12 )
( power_on INSTRUMENT5 )
( pointing SATELLITE6 GROUNDSTATION1 )
( pointing SATELLITE5 STAR0 )
( pointing SATELLITE3 GROUNDSTATION1 )
( pointing SATELLITE0 STAR70 )
( pointing satellite0 star53 )
( pointing SATELLITE2 STAR2 )
( calibrated INSTRUMENT14 )
( calibrated INSTRUMENT3 )
( calibrated INSTRUMENT10 )
( pointing SATELLITE0 STAR2 )
( calibrated INSTRUMENT5 )
( pointing SATELLITE5 STAR27 )
( pointing SATELLITE3 PLANET41 )
( calibrated instrument6 )
( pointing SATELLITE2 PLANET29 )
( calibrated INSTRUMENT0 )
( have_image PLANET16 INFRARED1 )
( have_image STAR27 INFRARED0 )
( have_image PLANET29 INFRARED0 )
( have_image PLANET67 THERMOGRAPH2 )
( pointing SATELLITE5 PHENOMENON60 )
( pointing SATELLITE1 PLANET39 )
( pointing SATELLITE6 STAR70 )
( pointing SATELLITE2 PLANET25 )
( have_image PHENOMENON60 INFRARED0 )
( have_image PLANET39 INFRARED1 )
( have_image STAR70 INFRARED1 )
( have_image PHENOMENON45 THERMOGRAPH2 )
( pointing satellite5 phenomenon20 )
( have_image PLANET25 INFRARED0 )
( have_image PHENOMENON47 INFRARED0 )
( pointing SATELLITE5 STAR7 )
( pointing SATELLITE3 PLANET49 )
( pointing SATELLITE0 PLANET64 )
( have_image PLANET12 THERMOGRAPH2 )
( have_image PLANET3 INFRARED1 )
( have_image PLANET64 INFRARED0 )
( pointing SATELLITE1 STAR30 )
( pointing SATELLITE6 STAR6 )
( pointing SATELLITE3 PHENOMENON51 )
( pointing SATELLITE2 PLANET71 )
( pointing SATELLITE0 PHENOMENON15 )
( have_image STAR54 INFRARED0 )
( have_image STAR30 INFRARED1 )
( have_image PLANET71 INFRARED1 )
( pointing SATELLITE1 PLANET48 )
( pointing satellite5 planet18 )
( power_on instrument8 )
( pointing SATELLITE6 STAR58 )
( pointing SATELLITE5 PLANET10 )
( pointing SATELLITE2 PHENOMENON8 )
( pointing SATELLITE0 STAR37 )
( have_image PLANET48 THERMOGRAPH2 )
( have_image STAR58 INFRARED1 )
( have_image PLANET56 THERMOGRAPH2 )
( have_image PHENOMENON8 THERMOGRAPH2 )
( have_image STAR37 THERMOGRAPH2 )
( pointing satellite5 star58 )
( pointing SATELLITE1 PHENOMENON55 )
( pointing SATELLITE6 PLANET68 )
( pointing SATELLITE3 PHENOMENON61 )
( pointing SATELLITE2 PHENOMENON62 )
( pointing SATELLITE5 PHENOMENON34 )
( pointing satellite6 planet16 )
( pointing SATELLITE0 PHENOMENON20 )
( have_image PHENOMENON55 THERMOGRAPH2 )
( have_image PLANET68 INFRARED0 )
( have_image PHENOMENON61 THERMOGRAPH2 )
( have_image PHENOMENON34 INFRARED1 )
( pointing SATELLITE1 PLANET16 )
( pointing SATELLITE6 PLANET36 )
( pointing SATELLITE3 PHENOMENON57 )
( pointing SATELLITE2 PHENOMENON60 )
( calibrated instrument8 )
( pointing SATELLITE1 STAR53 )
( pointing SATELLITE2 PHENOMENON33 )
( pointing SATELLITE0 PLANET50 )
( have_image PHENOMENON57 THERMOGRAPH2 )
( pointing satellite0 planet64 )
( have_image PHENOMENON33 INFRARED0 )
( pointing SATELLITE6 PLANET44 )
( have_image PLANET50 THERMOGRAPH2 )
( pointing SATELLITE3 PLANET5 )
( pointing SATELLITE1 STAR4 )
( pointing SATELLITE2 PHENOMENON46 )
( have_image PLANET5 THERMOGRAPH2 )
( have_image PHENOMENON9 INFRARED0 )
( pointing SATELLITE6 PLANET42 )
( pointing SATELLITE3 STAR23 )
( pointing SATELLITE5 PLANET28 )
( pointing satellite2 planet3 )
( pointing SATELLITE2 PHENOMENON14 )
( have_image PLANET42 INFRARED0 )
( pointing satellite5 planet19 )
( calibrated instrument9 )
( have_image STAR23 THERMOGRAPH2 )
( have_image PHENOMENON14 INFRARED0 )
( pointing SATELLITE6 PLANET21 )
( pointing SATELLITE3 STAR59 )
( have_image PLANET63 THERMOGRAPH2 )
( have_image PLANET21 INFRARED0 )
( have_image STAR59 THERMOGRAPH2 )
( pointing SATELLITE1 STAR22 )
( have_image PLANET19 INFRARED0 )
( have_image STAR22 INFRARED1 )
( have_image PLANET32 THERMOGRAPH2 )
( have_image STAR40 THERMOGRAPH2 )
( pointing SATELLITE1 GROUNDSTATION1 )
( pointing SATELLITE6 PHENOMENON43 )
( pointing SATELLITE3 STAR38 )
( calibrated instrument9 )
( pointing satellite2 planet71 )
( pointing SATELLITE1 PLANET11 )
( have_image PHENOMENON43 THERMOGRAPH2 )
( have_image PLANET11 INFRARED1 )
( power_on instrument12 )
( pointing SATELLITE3 STAR35 )
( pointing SATELLITE6 PHENOMENON72 )
( pointing SATELLITE1 PLANET24 )
( have_image STAR35 THERMOGRAPH2 )
( have_image PHENOMENON72 INFRARED0 )
( have_image PLANET24 INFRARED1 )
